,0
2018-11-27,-3.415333370065292e-05
2018-11-28,8.363369399908352e-05
2018-11-29,-0.00014898333655505975
2018-11-30,0.0001698322921976558
2018-12-03,0.0006760960473123183
2018-12-04,-0.00021527153995005294
2018-12-05,8.851587974629052e-05
2018-12-06,0.0001768891956977353
2018-12-07,-0.000559802215008183
2018-12-10,0.0005506034915014713
2018-12-11,7.39120143945901e-05
2018-12-12,-4.815436644419434e-05
2018-12-13,7.83690686685922e-05
2018-12-14,0.00026623996896258176
2018-12-17,-0.00025963327991890967
2018-12-18,-0.00044392287826387495
2018-12-19,3.731510542684391e-06
2018-12-20,-0.0005116709337938743
2018-12-21,-0.000311767943702794
2018-12-24,-0.0004686392007809126
2018-12-25,1.962793331135521e-05
2018-12-26,0.0010000062227741927
2018-12-27,-0.00027982977662667496
2018-12-28,0.0010779746548036017
2018-12-31,-0.00017464774621385806
2019-01-01,-1.127299063551116e-06
2019-01-02,-0.0008103071650550485
2019-01-03,-0.0009263586417647893
2019-01-04,0.0006476844775660517
2019-01-07,0.0009761473469579104
2019-01-08,1.3859847764995104e-05
2019-01-09,0.0002162052105084012
2019-01-10,0.00032614811142047664
2019-01-11,0.00045903024749424247
2019-01-14,-0.000508226963765103
2019-01-15,0.00048396355386211634
2019-01-16,-0.00012113005325927861
2019-01-17,-0.0001615995195997557
2019-01-18,-0.0022183484429979337
2019-01-21,-6.968485342802574e-05
2019-01-22,-0.00030656576884998017
2019-01-23,-0.00040661528204244055
2019-01-24,0.0006942230444468597
2019-01-25,0.0016057304866786502
2019-01-28,-0.0005057664632706349
2019-01-29,-0.0019176521747241845
2019-01-30,0.0013224220099714544
2019-01-31,0.0013576985407689583
2019-02-01,0.0002674098024948886
2019-02-04,0.00013342022792509674
2019-02-05,0.00010684930165164551
2019-02-06,-0.0005490533937111955
2019-02-07,-0.0018222057803863132
2019-02-08,-0.0010234401988897862
2019-02-11,0.0011899241228572567
2019-02-12,0.000495819913681991
2019-02-13,0.0002386852311962906
2019-02-14,0.0004565345380984829
2019-02-15,-0.00011600356353071509
2019-02-18,0.00011003634422040586
2019-02-19,-7.784924041182224e-05
2019-02-20,-0.0008035597123693104
2019-02-21,-0.0014922341987280209
2019-02-22,0.0028714799103243408
2019-02-25,0.000346917209827614
2019-02-26,-0.00014137499144144022
2019-02-27,0.0014332110297970795
2019-02-28,0.000975864293450707
2019-03-01,-0.0022796507905408847
2019-03-04,-7.017474796040292e-05
2019-03-05,-0.001878397668577468
2019-03-06,-2.269202943580139e-05
2019-03-07,-0.00014037090892842115
2019-03-08,-0.0003717498967833249
2019-03-11,0.0007016888533528005
2019-03-12,-0.0006629435045221004
2019-03-13,0.0006105811889736178
2019-03-14,-0.001542004268065184
2019-03-15,-0.001333027823626369
2019-03-18,-0.0003978212808611252
2019-03-19,-0.00034385461856270886
2019-03-20,0.0008794699882214574
2019-03-21,-7.754841927715486e-05
2019-03-22,0.0008798281135750305
2019-03-25,-0.0018070892273741159
2019-03-26,0.00044406427515643245
2019-03-27,0.0007837040912942756
2019-03-28,0.0009878325572534063
2019-03-29,0.00028528102721888174
2019-04-01,0.0018396154243761117
2019-04-02,0.0014870690084241263
2019-04-03,0.0013034689006341856
2019-04-04,-0.003114885657845521
2019-04-05,0.0013881183608366121
2019-04-08,-0.0003735941405868656
2019-04-09,0.0011514982839507474
2019-04-10,0.0010701286507485168
2019-04-11,-0.0013068317166234308
2019-04-12,5.6757198614021225e-05
2019-04-15,-0.0005408252623776643
2019-04-16,0.000873123473778336
2019-04-17,0.0016137885535202159
2019-04-18,-0.00011399768182055619
2019-04-19,0.0018001448334372698
2019-04-22,-0.0007672704055513378
2019-04-23,-0.0006440508688439726
2019-04-24,-0.0009442173526653815
2019-04-25,-0.00027752984419101645
2019-04-26,-0.003996525716279894
2019-04-29,0.001648082471173603
2019-04-30,-0.0009127268649888065
2019-05-01,0.00020969754400602513
2019-05-02,0.0013868545054158963
2019-05-03,0.0019916956595164396
2019-05-06,-0.0001521219923329084
2019-05-07,-0.0007196706983719978
2019-05-08,-0.00113756939478776
2019-05-09,-0.0017916086653951419
2019-05-10,-0.001026830110341612
2019-05-13,-0.0022508437574436206
2019-05-14,0.0015352154190456761
2019-05-15,0.0022730788021986578
2019-05-16,-0.005129828448008079
2019-05-17,-0.0036414410988722754
2019-05-20,-0.001474414809949958
2019-05-21,2.5522532380641352e-05
2019-05-22,-0.0020973962587945965
2019-05-23,-0.0001825343853518336
2019-05-24,-0.000553927665402278
2019-05-27,-0.0008731526720402088
2019-05-28,0.0022300694445983437
2019-05-29,-2.375716994697935e-05
2019-05-30,-0.0009327017640098781
2019-05-31,-4.8875606379929215e-06
2019-06-03,-0.002378018009936576
2019-06-04,0.004213726685210584
2019-06-05,0.001457234031904276
2019-06-06,0.0005744528723399872
2019-06-07,0.0009185146824910451
2019-06-10,0.002307673873119521
2019-06-11,0.0005567017617491715
2019-06-12,-0.003274756860581181
2019-06-13,-0.00019423228958935024
2019-06-14,0.00019008113617335204
2019-06-17,0.0009567668599964778
2019-06-18,-0.0009331169930601856
2019-06-19,0.001918124124976653
2019-06-20,-0.0012377391187255657
2019-06-21,0.0002410947206996281
2019-06-24,-0.00034694127446970957
2019-06-25,-0.0010815335798136094
2019-06-26,0.0018350545478989229
2019-06-27,0.002158895989967685
2019-06-28,0.001122793403645855
2019-07-01,0.0014381049230109064
2019-07-02,-0.000467582316625529
2019-07-03,-0.001069101959121032
2019-07-04,0.00034544217372373587
2019-07-05,0.0011950964995200639
2019-07-08,-0.0010467949968897671
2019-07-09,-0.000763028061096726
2019-07-10,0.001302999018166863
2019-07-11,0.0013473318465060447
2019-07-12,0.0011388112101382896
2019-07-15,0.0010065771506176252
2019-07-16,-0.00011848880440267634
2019-07-17,0.00033876588133372777
2019-07-18,-0.001355227718668149
2019-07-19,0.0030022442428430792
2019-07-22,0.0005679735004751373
2019-07-23,0.00028814896148744024
2019-07-24,0.0030914021998630996
2019-07-25,0.0017988438495403969
2019-07-26,0.0008886840702054316
2019-07-29,-0.0006893045953387134
2019-07-30,0.0031861677515392147
2019-07-31,0.0005382274721532111
2019-08-01,9.290865687761399e-05
2019-08-02,-0.00032719361362532756
2019-08-05,-0.00026180713068254396
2019-08-06,-0.00044689865535912053
2019-08-07,-0.001022019112759114
2019-08-08,0.0010316009511692412
2019-08-09,-0.0018464629994564058
2019-08-12,-0.0020257758004525624
2019-08-13,-0.0006140289789590032
2019-08-14,-0.0009229326176554975
2019-08-15,-0.0022250706549931535
2019-08-16,-0.0003703263764633785
2019-08-19,-0.00039551213593494797
2019-08-20,0.0013617032080049576
2019-08-21,-0.0008826342684804412
2019-08-22,0.0006685714162568276
2019-08-23,-0.0009757986450814674
2019-08-26,-0.0003925069619063054
2019-08-27,-0.0012974613201020661
2019-08-28,-0.0001887124260063701
2019-08-29,0.0014538794980421509
2019-08-30,0.0022096899449252924
2019-09-02,0.000820671545216308
2019-09-03,-0.0015175968597567905
2019-09-04,-0.0005086605209605848
2019-09-05,0.00336113811522332
2019-09-06,-0.00125505808590449
2019-09-09,0.00023133159902164239
2019-09-10,-0.0004088394905038071
2019-09-11,-0.0002581809369026295
2019-09-12,0.0015871500320309984
2019-09-13,0.0010166560921925308
2019-09-16,0.0007882040891720021
2019-09-17,0.00029655050522202873
2019-09-18,-0.0012295560483857933
2019-09-19,0.0011881592055069208
2019-09-20,-0.00019407832133791318
2019-09-23,-0.000583976188091956
2019-09-24,-0.002656116275681843
2019-09-25,0.0035500956439132097
2019-09-26,0.00031167301872072207
2019-09-27,0.0013961436054377944
2019-09-30,-0.0026707163095421958
2019-10-01,0.0017300627827971597
2019-10-02,0.0022058354473049394
2019-10-03,-0.0014731828079584874
2019-10-04,-0.0024647737633057675
2019-10-07,0.0010534894186445527
2019-10-08,0.003036232104307004
2019-10-09,-0.001518870192356924
2019-10-10,0.0010570465308490555
2019-10-11,0.00011107158170649625
2019-10-14,0.0007789297658688794
2019-10-15,0.001777120289576585
2019-10-16,-0.000509085614046269
2019-10-17,0.001223925325696833
2019-10-18,9.541801665046649e-05
2019-10-21,-0.0002019677349944628
2019-10-22,0.0004794434037907365
2019-10-23,0.0009308357755709582
2019-10-24,0.00548988656021846
2019-10-25,0.006009419117197252
2019-10-28,0.0015613240010820583
2019-10-29,-0.002773300863096254
2019-10-30,-0.0030732532192769015
2019-10-31,-0.005143333889367354
2019-11-01,0.0027967158867420634
2019-11-04,0.001852903499566935
2019-11-05,0.00012108821667033336
2019-11-06,-0.00036571291160011356
2019-11-07,0.003834355807749461
2019-11-08,0.004108790554915237
2019-11-11,0.002982007598078191
2019-11-12,0.0013467980296957872
2019-11-13,-0.0002610151725558874
2019-11-14,-0.0006613770710053535
2019-11-15,0.0008917744293047416
2019-11-18,0.0011933495023803975
2019-11-19,0.0001438308756689349
2019-11-20,-0.00042526259901179333
2019-11-21,-0.0005002640102261978
2019-11-22,-0.0018851320048589905
2019-11-25,1.9314407937344805e-05
2019-11-26,0.000749264327980241
2019-11-27,-0.0009596700380872783
2019-11-28,-0.0007451634886173051
2019-11-29,7.53355049422041e-05
2019-12-02,-0.00030461193871375927
2019-12-03,0.0008799760536339091
2019-12-04,-0.0027753981423348693
2019-12-05,-0.0003284940621286897
2019-12-06,0.000710447022727977
2019-12-09,-0.0006812658553705248
2019-12-10,0.0020972626377962983
2019-12-11,0.00019944863060689707
2019-12-12,0.002081717447656676
2019-12-13,0.0015274081824322625
2019-12-16,0.0031539577456741134
2019-12-17,-0.0006648219588215876
2019-12-18,0.0024823729730471707
2019-12-19,0.0012811340817345338
2019-12-20,0.0014056666356016389
2019-12-23,0.0008800150249705751
2019-12-24,0.0019157526104971805
2019-12-25,3.696045200448516e-05
2019-12-26,-0.0006518850865806225
2019-12-27,-0.0003333326580892404
2019-12-30,-0.001709574345135011
2019-12-31,0.0007602673978397618
2020-01-01,-5.056691436994993e-05
2020-01-02,0.0019971432648045098
2020-01-03,0.00042249951551985923
2020-01-06,-0.000864636905714956
2020-01-07,0.005062591979476413
2020-01-08,0.001547335450764807
2020-01-09,-0.0013079115506263728
2020-01-10,0.0008785943934161216
2020-01-13,0.004556864378739187
2020-01-14,0.0021483088753928886
2020-01-15,-0.002496346338790081
2020-01-16,-0.002396798061670714
2020-01-17,-0.002085289399573832
2020-01-20,0.0005290435895089839
2020-01-21,0.0016395823481688981
2020-01-22,0.004058243533517174
2020-01-23,0.0013574816122631362
2020-01-24,0.001262504430534054
2020-01-27,-0.002524080362747736
2020-01-28,0.00029301992822902516
2020-01-29,-0.0005220010176054578
2020-01-30,0.0006726966479608291
2020-01-31,0.003779945201575279
2020-02-03,0.008278338189599782
2020-02-04,0.009635961410659886
2020-02-05,-0.013641911620917125
2020-02-06,0.001574305178871225
2020-02-07,-0.0002461898296033183
2020-02-10,0.0009120910265623654
2020-02-11,0.0013350943401335249
2020-02-12,0.0021248756875483533
2020-02-13,0.0022392384401469477
2020-02-14,-0.002191112002836777
2020-02-17,-0.0007350387534962789
2020-02-18,0.0033936284758282345
2020-02-19,0.005828780382638782
2020-02-20,0.00011256603971664201
2020-02-21,0.0002201904863714972
2020-02-24,-0.001232087844071382
2020-02-25,-0.003144114243072347
2020-02-26,-0.0035100574561431714
2020-02-27,-0.004794102826223931
2020-02-28,0.0012852707874103572
2020-03-02,-0.0028820642429333854
2020-03-03,0.0013714970260778753
2020-03-04,-0.003690511331820065
2020-03-05,-0.0015941787063076772
2020-03-06,-0.0024057214494557083
2020-03-09,-0.0042421098919272066
2020-03-10,-0.002672249954756449
2020-03-11,-0.0038052454914554723
2020-03-12,-0.005030853893399384
2020-03-13,-0.016384074873189616
2020-03-16,-0.0014226276372270724
2020-03-17,-0.00906155645436224
2020-03-18,-0.005936020775737787
2020-03-19,0.010070881463167222
2020-03-20,0.005363437677620507
2020-03-23,0.0054788489614046275
2020-03-24,0.00872217985876328
2020-03-25,0.00728384139865179
2020-03-26,-0.007348110887917661
2020-03-27,0.0013005447822752314
2020-03-30,-0.006522682591379784
2020-03-31,0.00545958226150145
2020-04-01,-0.006398484253683223
2020-04-02,-0.005808451896420302
2020-04-03,0.0018507235137776717
2020-04-06,0.0036968810943114744
2020-04-07,0.0069097925175051755
2020-04-08,0.0022649109550020308
