date,l1,active_share_on,active_share_off,n_gate_targets,n_ow_released,n_ow_on,n_ow_off
2019-03-25,0.0005902562133718279,0.17242826111225393,0.1729152547898094,89,7,13,20
2019-07-19,1.032659348985051e-07,0.2250000001110386,0.2250000000925964,101,0,13,13
2019-11-14,0.013378923634690718,0.22211209171074914,0.22499999999270293,103,1,15,16
2020-03-11,0.008885719760800064,0.22499999987013086,0.2249999993910528,101,1,23,22
2020-07-07,3.758775524043601e-07,0.22499999929812792,0.2249999996734069,94,0,27,27
2020-12-01,0.009607591826419144,0.22499999993933992,0.22499999993283915,99,1,22,23
2021-03-29,3.270058838749844e-07,0.22499999994903128,0.22499999990264452,102,0,23,23
2021-07-23,2.258106347688133e-06,0.22500000019009933,0.2250000000117206,90,0,22,22
2021-11-18,7.218950625775972e-08,0.22500000002166415,0.22499999998898157,100,0,17,17
2022-03-16,0.005114306575987869,0.22499999998780829,0.22499999987468627,106,15,28,43
2022-07-12,0.0013340568940253556,0.22499999997383985,0.22499999953933358,106,5,32,37
2022-12-06,0.03919968074560642,0.20843676525896576,0.22499999987088004,108,13,41,54
2023-04-03,3.186660767731306e-08,0.2249999999791974,0.22499999996178602,108,0,23,23
2023-07-28,3.5936691906872255e-08,0.22500000002343112,0.225000000047503,106,0,38,38
2023-11-23,1.2317742794495187e-07,0.22500000000097,0.2249999999578069,109,0,25,25
2024-03-20,4.953252948497205e-07,0.22500000008071575,0.22500000006853238,119,0,18,18
2024-07-16,9.284330919679041e-08,0.22499999896214407,0.22499999872678578,110,0,14,14
2024-12-10,0.007874758827925496,0.2249999997541826,0.22499999971714144,114,1,20,22
2025-04-07,0.002887148853229174,0.09516802805293287,0.09791932530274144,102,29,19,48
2025-08-01,7.201269324762392e-07,0.19878517191315437,0.1987851722863605,103,0,18,18
2025-11-27,9.807948459769405e-09,0.22499999987148236,0.22499999989757008,115,0,16,16
2026-03-25,0.0027120356943204664,0.22499999791854142,0.224999997933286,125,12,33,45
2026-08-19,0.029387591347328317,0.20660559629428407,0.22499999988283845,125,8,32,40
