date,n_spike,n_up,n_down,mean_up,mean_down,spread,raw_ic,resid_ic
2018-11-27,66,33,33,-0.06160314639457077,-0.07474960457405296,0.013146458179482186,0.04399077263367048,0.04506958087357556
2018-12-26,50,22,28,0.06870327504770593,0.06435616090109285,0.004347114146613082,0.03495501875818967,-0.009589619562778734
2019-01-24,28,15,13,0.06138822559226245,0.08688329637222846,-0.025495070779966003,-0.09225849202938391,-0.09117336709512167
2019-02-22,28,17,11,0.02838091424507474,-0.0012263604454728525,0.02960727469054759,0.13263931462588993,0.1245050834993841
2019-03-25,10,5,5,0.02914625140645013,0.09737548473102178,-0.06822923332457165,-0.07913415275199842,-0.09464551920392782
2019-04-23,20,9,11,-0.014648882057103067,0.017408376433467317,-0.03205725849057038,-0.06751926567298702,-0.05191732231745703
2019-05-22,19,9,10,0.06165752200801617,0.05015137553224287,0.011506146475773298,-0.006147561589583245,-0.006036825878898221
2019-06-20,14,8,6,0.006729620725017052,0.03359459707920474,-0.026864976354187685,-0.051768356920562766,-0.04265111308785402
2019-07-19,13,7,6,-0.005495668428923747,-0.05451481885941103,0.04901915043048728,0.09875837153504162,0.06451892402791588
2019-08-19,37,18,19,0.00975462517251486,0.057466898900472796,-0.047712273727957936,-0.10951889319519091,-0.14168051021874495
2019-09-17,25,12,13,0.016903554537426146,-0.005674577484629833,0.02257813202205598,0.06529753611336751,0.05492786123566431
2019-10-16,12,6,6,0.06718356619554389,0.0735364773796839,-0.0063529111841400115,-0.004106660169606885,-0.018697730612544372
2019-11-14,47,22,25,0.029404018371968068,0.03167652512168393,-0.002272506749715863,0.022510470988422886,0.02084924949945311
2019-12-13,12,7,5,0.02817656633200546,0.061797024916870225,-0.03362045858486476,-0.1171285536816246,-0.1604272897750797
2020-01-13,3,2,1,0.06303845082690795,0.09254345915958817,-0.029505008332680216,0.02113382403982511,0.009767919937584992
2020-02-11,38,18,20,-0.15553982386818482,-0.20374374199551384,0.04820391812732902,0.08968135961186673,0.09922139664375136
2020-03-11,118,46,72,0.030670091790739457,0.006333160180112752,0.024336931610626705,0.11770090805873605,0.10590141678848786
2020-04-09,179,84,95,0.05289713013333704,0.05494096076624433,-0.0020438306329072856,-0.047364872088585266,-0.0824753413088117
2020-05-08,58,23,35,0.12228060241316734,0.16708959937470122,-0.044808996961533884,-0.16435598838069396,-0.20657030443562907
2020-06-08,41,14,27,0.06230028931333379,-0.0934945442035916,0.15579483351692539,0.3508140963776488,0.35400522648623745
2020-07-07,7,4,3,0.013977805531916826,0.04226963410597303,-0.028291828574056203,-0.0471349486776717,-0.027624054669731588
2020-08-05,16,8,8,0.06221736277766857,0.03161641676268996,0.030600946014978606,0.05864041237766577,0.05942501452156919
2020-09-03,10,8,2,-0.03662504963805621,-0.05395470337339542,0.017329653735339207,-0.037638305681324175,-0.02390610904704829
2020-10-02,4,0,4,,-0.01638870524707317,,0.004175487680786208,0.008136105341682746
2020-11-02,8,4,4,0.11162848985074197,0.22947939804235862,-0.11785090819161664,-0.07301055348099497,-0.032622519950325855
2020-12-01,38,19,19,0.04677890487089979,0.04684856424175449,-6.965937085469387e-05,0.030372915735610895,0.028344938947095874
2020-12-30,2,1,1,0.010461743306861448,-0.051278007835760864,0.06173975114262231,0.07203707943458172,0.06017403096430128
2021-01-28,9,6,3,0.06392212575272356,0.03430415442755145,0.02961797132517211,0.04928578933204327,0.04202591891506043
2021-02-26,8,5,3,0.011341599329979423,-0.02490469784914932,0.03624629717912874,0.003751172769473391,0.061194298148803845
2021-03-29,13,5,8,0.09689267556204453,0.039262476959705986,0.05763019860233855,0.07781267132797018,0.06764420274903103
2021-04-27,1,0,1,,-0.02554064111766763,,0.06093377748964325,0.061946777070652465
2021-05-26,16,6,10,0.03292349776777594,0.006101456447384246,0.026822041320391697,0.021973938800094493,0.009196990845940622
2021-06-24,3,1,2,0.08947050030333581,0.06678823728293481,0.022682263020400995,-0.024448038912929505,-0.02765901264411951
2021-07-23,5,4,1,0.030663194917271264,0.020196994479322328,0.010466200437948936,0.023035082516411665,0.015664961372069314
2021-08-23,15,12,3,0.027815637028986363,-0.023322516529245663,0.05113815355823202,0.13209202556196042,0.10509572077655256
2021-09-21,14,10,4,0.015777063490635568,0.016508795761205813,-0.0007317322705702456,-0.03566703128659789,-0.037971521561235136
2021-10-20,9,2,7,0.03200901674423151,0.018104630897770018,0.013904385846461493,0.032911122308699206,0.020171975913290174
2021-11-18,40,25,15,-0.04627036260262447,-0.01849921562238154,-0.027771146980242925,-0.13910284631799547,-0.12838961114635408
2021-12-17,59,40,19,-0.006480319314098826,0.058726055176841686,-0.06520637449094051,-0.1998282921764693,-0.20456354606550523
