date,n_spike,n_up,n_down,mean_up,mean_down,spread,raw_ic,resid_ic
2018-11-27,66,36,30,-0.04557501318311205,-0.09529801024575163,0.04972299706263958,0.25670597031794123,0.24631332343378357
2018-12-26,50,34,16,0.06149728139725988,0.07640856179833094,-0.014911280401071064,-0.14305033753057975,-0.05152173478864481
2019-01-24,28,13,15,0.06158565320398785,0.08331284967140433,-0.021727196467416478,-0.030692316770784742,0.009617215090162345
2019-02-22,28,15,13,0.02105406970218279,0.011782656287179023,0.009271413415003767,0.062033477085768125,0.016809193235191644
2019-03-25,10,5,5,0.03364557236149002,0.09287616377598189,-0.05923059141449187,-0.10474983225553548,-0.09245412835350016
2019-04-23,20,11,9,0.0032968274298247943,0.0025985667251266806,0.0006982607046981137,0.053934262335301714,0.044856168815305776
2019-05-22,19,7,12,0.07017228383161078,0.047102122214441565,0.023070161617169217,0.09272039308520896,0.09326481555803229
2019-06-20,14,7,7,0.03775967143905189,-0.001273307399714049,0.039032978838765935,0.14071980338114662,0.1636375544830953
2019-07-19,13,4,9,0.005645120433274947,-0.043126563765781355,0.0487716841990563,0.09105581851146927,0.06959931044943435
2019-08-19,37,18,19,0.02519199010145821,0.042842026862526465,-0.017650036761068254,-0.1581645327819951,-0.11969743621813059
2019-09-17,25,14,11,-0.006542733327657028,0.020061037612374936,-0.026603770940031964,-0.09802151962167313,-0.10037941102804092
2019-10-16,12,2,10,0.10337129327606354,0.06375776748992397,0.03961352578613957,-0.04417573808770382,-0.018184020023127554
2019-11-14,47,15,32,0.018722117631436823,0.03618655524230761,-0.017464437610870784,-0.05388513996558006,-0.051681172383216116
2019-12-13,12,5,7,0.024532213603090457,0.05479428869899101,-0.03026207509590055,-0.09559991625024089,-0.10174956576190279
2020-01-13,3,0,3,,0.07287345360446802,,-0.13182982774685204,-0.12953720584146222
2020-02-11,38,16,22,-0.17059146132105757,-0.18841492220003103,0.017823460878973463,0.034219093697903935,0.027072220067975862
2020-03-11,118,53,65,0.0323771254674987,0.0023203708548415664,0.03005675461265713,0.1051680899815189,0.12749979688478882
2020-04-09,179,97,82,0.07127565440101416,0.033524533257257905,0.037751121143756255,0.19197717173677636,0.2011503218763515
2020-05-08,58,27,31,0.07663681209042288,0.2126256744250314,-0.13598886233460855,-0.39016551823120926,-0.3711713833563005
2020-06-08,41,13,28,0.08307642267112388,-0.09757650492267538,0.18065292759379925,0.4200808629956635,0.4224420889579336
2020-07-07,7,7,0,0.026102874920798054,,,-0.0676603260486899,-0.06366189496216224
2020-08-05,16,9,7,0.06249599339724226,0.026886613678241127,0.03560937971900113,0.1027702433366074,0.10221758713813502
2020-09-03,10,8,2,-0.03761572883670872,-0.0499919865787854,0.01237625774207668,-0.04378383565509264,-0.03720203914558085
2020-10-02,4,1,3,-0.033559398383342764,-0.010665140868316639,-0.022894257515026127,-0.015121359101636629,-0.010334234442619458
2020-11-02,8,3,5,0.1120687903117082,0.20564503612745555,-0.09357624581574735,-0.053547268109665314,0.02586125483170926
2020-12-01,38,15,23,0.05978352942591632,0.03835517268485594,0.021428356741060375,-0.0003283639227652172,0.001685433830844515
2020-12-30,2,2,0,-0.020408132264449708,,,-0.062641863767641,-0.08445768644445854
2021-01-28,9,4,5,0.12068423610552886,0.0007416546753760578,0.11994258143015281,0.14112820175953525,0.1456224501022174
2021-02-26,8,5,3,-0.005347795228415908,0.002910959748176234,-0.008258754976592142,-0.018458741251765103,0.054983377936192644
2021-03-29,13,5,8,0.1288108144920323,0.01931364012846362,0.10949717436356868,0.18235208349117385,0.1815757993421211
2021-04-27,1,1,0,-0.02554064111766763,,,-0.06093377748964325,-0.061946777070652485
2021-05-26,16,5,11,-0.038736531549036,0.04111256443869801,-0.07984909598773401,-0.08313004257364867,-0.05779845136452552
2021-06-24,3,2,1,0.06873022841781973,0.08558651803356598,-0.016856289615746256,0.030755556031524845,0.04151937678958095
2021-07-23,5,4,1,0.03494562608667806,0.0030672698016951383,0.03187835628498292,0.04624323601835337,0.05220288597514785
2021-08-23,15,7,8,0.0036893074791594254,0.029749367800747925,-0.0260600603215885,-0.011067918684545658,-0.0016638693570682984
2021-09-21,14,5,9,0.020491042738199773,0.013483400473353342,0.007007642264846431,0.006396638829124252,0.0078021431104292145
