date,n_mega,funding_set_size,funding_set,n_flip,entered,exited,flip_abs_delta_sum,turnover
2024-04-18,5,2,GOOGL|MSFT,1,GOOGL,,0.0001889009172184944,0.06583082921164957
2024-05-17,5,2,AAPL|MSFT,2,AAPL,GOOGL,0.0004961172464862038,0.08265620049924882
2024-06-17,5,4,AAPL|AMZN|GOOGL|MSFT,2,AMZN|GOOGL,,0.00010955766785258891,0.08640839414528688
2024-07-16,5,3,AAPL|GOOGL|MSFT,1,,AMZN,0.000928453668353077,0.0563834412501306
2024-08-14,4,3,AAPL|GOOGL|MSFT,0,,,0.0,0.06148759896474885
2024-09-12,5,2,AAPL|MSFT,1,,GOOGL,0.001145091448458757,0.03603710492362205
2024-10-11,5,1,AAPL,1,,MSFT,0.046428204125729663,0.10878115971439173
2024-11-11,5,3,AAPL|GOOGL|MSFT,2,GOOGL|MSFT,,4.591531730332998e-05,0.02937184600488702
2024-12-10,5,2,AAPL|MSFT,1,,GOOGL,0.0015425958615082405,0.053735423220912404
2025-01-08,5,3,AAPL|GOOGL|MSFT,1,GOOGL,,1.0649110412361273e-05,0.06811557420979339
2025-02-06,5,3,AAPL|AMZN|GOOGL,2,AMZN,MSFT,0.016776092547960517,0.4233127923441543
2025-03-07,5,3,AAPL|AMZN|MSFT,2,MSFT,GOOGL,0.00019521732829138466,0.04610699388249223
2025-04-07,5,4,AAPL|AMZN|GOOGL|MSFT,1,GOOGL,,8.368362007380586e-05,0.053074611131044294
2025-05-06,5,3,AMZN|GOOGL|MSFT,1,,AAPL,0.0002460154644250978,0.05013806666340176
2025-06-04,5,3,AMZN|GOOGL|MSFT,0,,,0.0,0.07828215666333754
2025-07-03,5,3,AAPL|AMZN|MSFT,2,AAPL,GOOGL,0.0009764140836457935,0.04077208940458293
2025-08-01,5,3,AAPL|AMZN|MSFT,0,,,0.0,0.07256012645405549
2025-09-01,5,4,AAPL|AMZN|GOOGL|MSFT,1,GOOGL,,0.0005754019514572009,0.07136727726177894
2025-09-30,5,3,AAPL|GOOGL|MSFT,1,,AMZN,0.003039130441363627,0.06605149184297773
2025-10-29,5,4,AAPL|AMZN|GOOGL|MSFT,1,AMZN,,5.008275825394565e-05,0.07694033093694647
2025-11-27,5,4,AAPL|AMZN|GOOGL|MSFT,0,,,0.0,0.071707622863255
2025-12-26,5,4,AAPL|AMZN|GOOGL|MSFT,0,,,0.0,0.06589673741860194
2026-01-26,5,4,AAPL|AMZN|GOOGL|MSFT,0,,,0.0,0.08940719713459155
2026-02-24,4,2,AAPL|GOOGL,2,,AMZN|MSFT,0.02083426970878063,0.07053211111203644
2026-03-25,4,3,AAPL|GOOGL|MSFT,1,MSFT,,0.00021921218652615204,0.04200240923881098
2026-04-23,5,3,AAPL|AMZN|GOOGL,2,AMZN,MSFT,0.0006892923662724162,0.05535169973206408
2026-05-22,5,4,AAPL|AMZN|GOOGL|MSFT,1,MSFT,,4.228062895263174e-05,0.06776715725516154
2026-06-22,3,2,AAPL|GOOGL,2,,AMZN|MSFT,0.00047986921718602693,0.14999999824860846
2026-07-21,4,2,AAPL|GOOGL,0,,,0.0,0.052429020787023925
2026-08-19,5,1,AAPL,1,,GOOGL,0.01434832963849704,0.09531830388133879
