pair_end_date,spearman_split,spearman_gain_ref
2019-02-20,0.9223585837490397,0.9326767782991608
2019-05-20,0.8693752063944807,0.8794588945217557
2019-08-15,0.8364145581420992,0.8582403465907662
2019-11-12,0.9109220482089766,0.9273569935266116
2020-02-07,0.8713022691928974,0.9071559910329717
2020-05-06,0.7871395718439596,0.8680096680055291
2020-10-29,0.8137885680852415,0.8524384060366635
2021-01-26,0.8122349095869561,0.8750898049201751
2022-01-13,0.8066965875003616,0.8799778709751265
2022-04-12,0.8748379431757223,0.9190598621877694
2022-07-08,0.8875022045537507,0.9239973874183919
2022-10-05,0.9388894680970773,0.9439994028934651
2023-06-27,0.9134397216759944,0.8641424897247225
2023-09-22,0.8107091924319763,0.8277228525759996
2023-12-20,0.8326669025784407,0.8687715566583103
2024-12-06,0.7986389040819478,0.8284713890790004
2025-03-05,0.8752127970817082,0.8792169509460582
2025-06-02,0.9182318148709174,0.902735799180405
2025-08-28,0.8733018886327786,0.8806140901839108
2025-11-25,0.8379240652266993,0.8815469671408921
