date,sub,w_share_next10,wa_pos_next10,wa_pos_total,speccap_next10,w_share_rec5
2018-11-27,P1,0.03222094332222874,0.019873278966665985,0.03727055856383307,0.0017353815803600133,0.01749984722230188
2018-12-26,P1,0.0,0.0,0.05463786215968067,0.0,0.010958544088169556
2019-01-24,P1,0.6155137007204219,0.11980843833286478,0.11980843833286717,0.011562988416882703,0.10435917270795843
2019-02-22,P1,0.08597531871343603,0.032455613626461724,0.1805592619376357,-0.002027816662220115,0.04855409171656809
2019-03-25,P1,0.0172115883775637,0.0006100901767979068,0.17957777862761987,-7.045918479863688e-05,0.012006622403539578
2019-04-23,P1,0.5887299230683213,0.16348397962485883,0.19557628026350143,-0.017567517561849863,0.14149698953957549
2019-05-22,P1,0.05643957791582967,0.032745835171621385,0.18484820342910288,-0.002736327119217837,0.058401325139795845
2019-06-20,P1,0.01210240773480413,0.0,0.19791491021786561,-0.00010379370449615378,0.02005771703944634
2019-07-19,P1,0.6170590497372759,0.1620910827283598,0.20575730951504567,-0.0002044631371100101,0.18100034074759172
2019-08-19,P1,0.05008775672122015,0.019235101700123568,0.20990842175179344,-0.0007004439879149532,0.039513580198125106
2019-09-17,P1,0.01263073925892429,0.0,0.21883683288550615,2.801710494946808e-05,0.022589098189112818
2019-10-16,P1,0.5786980300460987,0.1282845985138168,0.19743731553810762,0.016799541306973986,0.12073580257333782
2019-11-14,P1,0.05515324528185278,0.0274071287312896,0.22226125581114853,0.002451910997020986,0.07292775231816757
2019-12-13,P1,0.012976184161809214,0.0,0.22499999536459162,3.484909037739079e-06,0.028068928042711352
2020-01-13,P1,0.17128272153137553,0.01809695782530384,0.22499999731908288,0.0006741376255687207,0.012334655654924549
2020-02-11,P1,0.16605614032653684,0.05337128723637882,0.22499999555692604,0.00782480500411034,0.1268482074727118
2020-03-11,P1,0.08986061366653221,0.05449063037640096,0.2229204390849181,-0.006830645242822536,0.0061615171470503554
2020-04-09,P1,0.27803158657720334,0.06258537557542533,0.21839077386788383,-0.006501961345415033,0.0
2020-05-08,P1,0.15642041635229514,0.07409470209311105,0.22030402685460515,0.001983789292169646,0.08425877464685107
2020-06-08,P1,0.07245801582775462,0.05733889316143764,0.22443474060347016,0.0028527939676120592,0.0057439193146290625
2020-07-07,P1,0.15444328913762795,0.0,0.0,0.0,0.0
2020-08-05,P1,0.14022322017542593,0.0365614606165525,0.06853413274289281,0.006208977294985206,0.4505960809483716
2020-09-03,P1,0.018022013339516293,0.0,0.09804185706539839,-6.634265796051339e-06,0.022312112119042108
2020-10-02,P1,0.12266528811632905,0.017560856375292963,0.1301558314902019,-0.0016601634145570515,0.0019098319715569881
2020-11-02,P1,0.12653589931443843,0.04753584404506255,0.16322879302992802,0.0017673672383808885,0.4444858827920674
2020-12-01,P1,0.0542083658710828,0.02531894720733477,0.22196823494555504,0.0038892484612739085,0.01260962309238112
2020-12-30,P1,0.0160817471096082,0.0,0.22184381745927106,-5.976883077199334e-05,0.0
2021-01-28,P1,0.3419357436644279,0.07443638744698883,0.22443224696854788,0.004727748914522326,0.34595552393257695
2021-02-26,P1,0.023605004124850792,0.01291929141875724,0.2221437549536624,-0.0017190438817850802,0.10843037916788537
2021-03-29,P1,0.015351116711885554,0.0,0.22207704542779197,6.401756469461448e-05,0.006600695150923687
2021-04-27,P1,0.4545362924366284,0.1539740239593242,0.22238933521517926,-0.005584745793515803,0.29843187772864865
2021-05-26,P2,0.05118118569510072,0.0313650821457941,0.22499999884974187,0.0005344813159386817,0.05270965475195192
2021-06-24,P2,0.013641160681103853,0.0,0.2246345870041973,7.644425012092778e-05,0.013253855295708893
2021-07-23,P2,0.6131927966896525,0.11250388152581314,0.20777969411512123,0.004807652982652142,0.17013422764914993
2021-08-23,P2,0.03709901171368368,0.018750902452196436,0.20238683007565192,0.0019302713676547447,0.06026629305132541
2021-09-21,P2,0.01396285266618369,0.0,0.21998347211464214,-0.0002208400160793644,0.010902887680417915
2021-10-20,P2,0.5920178936173441,0.12398704474585005,0.21191900385148268,0.005135776988761145,0.19220535905989083
2021-11-18,P2,0.03869512827383318,0.020255530214468877,0.2249999829704811,-0.0030084264424226426,0.10655373049337469
2021-12-17,P2,0.008108677490218815,0.0,0.19374418731414514,-3.8183877031687044e-05,0.009811509145943318
2022-01-17,P2,0.456595371471517,0.10613292825022091,0.2216708451019263,-0.0009641386249369579,0.03224211778910425
2022-02-15,P2,0.13959598526605688,0.0,0.0,0.0,0.08765766896480222
2022-03-16,P2,0.024190246789765082,0.0,0.06256543588932086,-2.844713006747635e-05,0.009443286427041384
2022-04-14,P2,0.6271501090022465,0.06436354124745432,0.09361315131184468,-0.0003692144042788941,0.07689535369038258
2022-05-13,P2,0.1021451150955182,0.010604691925894163,0.10676002506964524,0.0003521478790830375,0.058413523820369344
