date,sub,ic,ic_held,tc,n_held,prec_top20,prec_bot20,spec_cap,realized,top_decile_spread,kurt,max_abs_z
2018-11-27,P1,0.006282389414519607,,0.06348245452582056,4,0.05,0.0,-0.0008900917998840277,-0.0003141072998111838,-0.03948992908511346,-0.37282469677257435,3.053186966543603
2018-12-26,P1,0.16703921253626605,,0.11440544977333396,6,0.35,0.2,0.00036797437540772983,-3.6351082046692795e-06,0.04612604003811867,-0.5104894976666454,2.63919974697719
2019-01-24,P1,0.03633785105045169,-0.17058823529411765,0.2131703564843728,16,0.25,0.0,-0.002251362855544699,-0.0005939935113039585,-0.016312798979927885,-0.5891064863518016,2.54110936980902
2019-02-22,P1,-0.2257533587853936,-0.3526315789473684,0.18237325571261653,19,0.15,0.05,-0.0049224598215451745,-0.004620591659277196,-0.05437649917564609,-0.1848490218895953,3.092864387109378
2019-03-25,P1,0.019936015600687248,0.1155844155844156,0.2304296244844759,21,0.4,0.15,0.009166355369771555,0.01126935278798391,0.06064032289111887,-0.419997865300489,2.5223271690079794
2019-04-23,P1,-0.16790534178645408,0.09217391304347824,0.3130793212395121,24,0.2,0.0,-0.002089949483463167,-0.006519975627993335,-0.05358614930739458,-0.378708706461814,2.59471993770899
2019-05-22,P1,-0.16837612202623814,-0.004615384615384616,0.24596907496913772,25,0.25,0.05,0.0015028519695822573,0.005353936889030297,-0.014289126656979637,0.15405519898473363,2.9975189027620406
2019-06-20,P1,-0.018749607683133513,0.30837438423645314,0.3190948465256418,29,0.25,0.05,-0.0023795177661183526,0.0021531902109850343,0.034950995841133356,0.06490947668519764,3.4201139330616734
2019-07-19,P1,-0.07861765280821424,-0.499633431085044,0.34121629268393056,32,0.2,0.0,-0.012607126570296166,-0.014486850342400825,-0.027872712948057564,1.314997610831524,3.7390278277106073
2019-08-19,P1,0.11758604813685465,0.23753665689149558,0.28665071262338737,32,0.25,0.0,0.001447043781387508,0.004422977493675262,0.0008521514138086729,1.3531759181934975,3.7194686680019706
2019-09-17,P1,0.03134514877273221,-0.15065982404692083,0.20574952821144585,32,0.25,0.1,-0.004896352451316423,-0.006624610946554088,0.016742302247345867,0.9465786603055069,3.289156212919938
2019-10-16,P1,0.09255054337927265,0.3410553410553411,0.20739279137069191,36,0.35,0.15,0.018795243843372347,0.03091536439937803,0.05712834847076889,0.5628725361125149,2.980399687745065
2019-11-14,P1,-0.0724930686256653,0.04689535388623534,0.25242142755954905,48,0.25,0.05,0.0021618369588197726,0.005286949345032266,0.0038918107032662064,0.40234168230469525,3.382725602599662
2019-12-13,P1,0.2646105275939529,0.35462184873949576,0.3028454050553498,50,0.3,0.05,0.006929772295132959,0.01909185114179679,0.03702772920861929,0.773058304682948,3.6057053929520833
