date,sub,w_share_next10,wa_pos_next10,wa_pos_total,speccap_next10,w_share_rec5
2018-11-27,P1,0.012554589988145834,1.8681347721384129e-16,0.018977416669743237,-4.308934250774753e-05,0.017871245708941295
2018-12-26,P1,0.0,0.0,0.03698288989276383,0.0,0.011075334481484917
2019-01-24,P1,0.5365288139484414,0.0378741921126723,0.07182576857398329,-0.005162590319188325,0.13000589844760202
2019-02-22,P1,0.08018556562308173,0.02658083092604231,0.09723784441008697,-0.0022805049527048005,0.05389293858786365
2019-03-25,P1,0.016694633811564944,3.1787096679145953e-17,0.10303798024506919,-4.572565743890012e-06,0.012462906482251668
2019-04-23,P1,0.552264042347057,0.10012231330243478,0.12776501043546912,-0.003357437310791225,0.17834772705848087
2019-05-22,P1,0.022618383390878814,0.0,0.14030189010504923,0.00010569498579671732,0.06664237110464788
2019-06-20,P1,0.011948998935958612,0.0,0.159884056357492,-0.00011293324943741342,0.019673239024323233
2019-07-19,P1,0.6073892330052868,0.14232114720782557,0.17420635040464597,-0.01026909862801896,0.18794826772470122
2019-08-19,P1,0.028222525316695318,0.0,0.17568466424497947,-9.481282800453543e-05,0.033827192912296446
2019-09-17,P1,0.012157175654476961,0.0,0.18720725666916108,3.830950055183296e-05,0.021608657434797462
2019-10-16,P1,0.538739727882122,0.08447903638314573,0.19004918007955546,0.013552603786575888,0.1166900174665404
2019-11-14,P1,0.023351452368037248,1.5499754257852771e-15,0.2106227090911879,0.00023138178523809906,0.10940848226676772
2019-12-13,P1,0.011723402281098083,0.0,0.21860159698677162,-3.40647408516058e-07,0.025758965803642262
2020-01-13,P1,0.16065128409268103,0.015789823673681883,0.2217351534982882,-0.0013318262331847336,0.0116923880742384
2020-02-11,P1,0.11158406058494337,0.002355048678322427,0.2030912956026686,0.0009458243192928513,0.12385790171781838
2020-03-11,P1,0.04617536940321096,0.013598553678191454,0.2088858140114584,-0.0006147024855713435,0.005828748029288842
2020-04-09,P1,0.2569491401261395,0.03871804270813093,0.17992266924472966,-0.0006063588147430316,0.0
2020-05-08,P1,0.0911267374294509,0.010024748373908031,0.19881237229585377,-0.0021091685119082573,0.1317191242376721
2020-06-08,P1,0.017218656940118583,0.000531139725886285,0.21154474132188883,-0.00010361252623782489,0.01178964260481932
2020-07-07,P1,0.14168266185970527,0.0181547246304461,0.21536298069739926,-0.0005154509961948615,0.0
2020-08-05,P1,0.11456265388676737,0.029045967587170998,0.2186294267386771,0.0013356824082746087,0.4199532484420639
2020-09-03,P1,0.013189355302954902,0.0,0.20493264873533987,0.00016264129556737742,0.022127868393116947
2020-10-02,P1,0.1421985942067368,0.049006205324848395,0.1916804127802343,0.003578096470109925,0.003902467456102666
2020-11-02,P1,0.10681571703732645,0.0338177708680272,0.1985033582971522,-0.0006790670005014554,0.4245649964871774
2020-12-01,P1,0.04076729532046202,0.01655584452334835,0.21162606072581291,0.005959553707883286,0.010431602293326335
2020-12-30,P1,0.0142133933339673,0.0,0.2075262325529058,-0.0001377386290503956,0.0
2021-01-28,P1,0.3140055704966832,0.0392939357750265,0.2095500269355957,0.0009060479827545856,0.3580514123698552
2021-02-26,P1,0.01729499801488853,0.0,0.21243216287297317,0.00045152391452377486,0.08426537762292734
2021-03-29,P1,0.013603751362162088,0.0,0.20943702483652954,9.549636914412112e-05,0.0035124540575741216
2021-04-27,P1,0.38623064363447546,0.08947353555966811,0.21910351638838768,-0.004472618527671631,0.33058202260770037
2021-05-26,P2,0.04099640287260924,0.01998849074849353,0.2122763938115424,0.001122912874391378,0.040968529366354776
2021-06-24,P2,0.012086992088525015,0.0,0.2239451676163652,0.00013810117208754784,0.010964793340190137
2021-07-23,P2,0.6141759535839287,0.1349642882021471,0.22326190210716487,0.004359274282231254,0.14527356946280798
2021-08-23,P2,0.038371478846928826,0.02059278387201004,0.2115597244868485,0.00037764901403069525,0.05785881329949481
2021-09-21,P2,0.01707309043576736,0.0,0.21855880089285873,2.123302016616597e-06,0.0067663314413964285
2021-10-20,P2,0.5655338803562548,0.10038194454689447,0.20575938929943519,0.006476645680853212,0.210005879799703
2021-11-18,P2,0.031082073430976485,0.012384583741452411,0.2033711880171449,-0.0020842912173067462,0.07863129576311936
2021-12-17,P2,0.005945480719005461,0.0,0.19776925556586783,-5.061543152035718e-05,0.008601427560620682
2022-01-17,P2,0.42755223639587375,0.09094085551119513,0.20858396864679585,-0.003928515546787764,0.03417052144895182
2022-02-15,P2,0.12886466736131919,0.02593392206992425,0.2086214725546571,-0.0028909133537522716,0.09196430828014404
2022-03-16,P2,0.013922990375072053,0.0,0.20075693501203337,0.00018322493363511153,0.02452030623252303
2022-04-14,P2,0.5867351516458446,0.08439258230895065,0.19991045330373589,-0.005277552954034663,0.056171809161734164
2022-05-13,P2,0.11137274314825955,0.027618541639253355,0.19811233951085513,0.0021534401210640086,0.04482840643241759
2022-06-13,P2,0.010510768016381258,0.0,0.20838101393921807,0.00020176775098113459,0.008713275084394527
2022-07-12,P2,0.3636846729530974,0.06763871212407555,0.202221144060276,0.00565931822907585,0.003891257805450075
2022-08-10,P2,0.07150605466031673,0.002479340962423668,0.19899720808760912,-0.00021259428386476612,0.09572492444749602
2022-09-08,P2,0.022307437796757357,0.00016931545329408907,0.1944560008748544,0.0006238413664853941,0.002657451391825033
2022-10-07,P2,0.2490732326690757,0.06438090733495958,0.19925961232839445,-0.0009124417758932108,0.0
2022-11-07,P2,0.10532049214254534,0.018605408313663405,0.192342164861466,0.002425088068529813,0.14903097997501985
2022-12-06,P2,0.029320743229171,0.0002593818909318252,0.1921200740541247,-0.0006457884803192467,0.024215329781736995
2023-01-04,P2,0.08392831831246657,0.007634204308680755,0.20474342951969787,0.0002478390982112011,0.0
2023-02-02,P2,0.15014105212527037,0.022968462655922006,0.20278231548423875,0.001985780874224555,0.3858051099018954
2023-03-03,P2,0.024149042763586925,0.008555666368684791,0.1977225485412032,0.0002162736521156838,0.04820492968729481
2023-04-03,P2,0.04869176834120627,0.008533864938376455,0.20333429024685334,-0.0006765941537156833,0.0007458450042008171
2023-05-02,P2,0.2409585442202772,0.060401767625251554,0.20954091613832043,0.002672345044466235,0.4415840841596704
2023-05-31,P2,0.016046335353084903,1.8209968435969372e-05,0.22216999174534402,7.208390050291623e-05,0.07561552389759561
2023-06-29,P2,0.005774524450381806,0.0,0.21764830125453152,-3.899547742729275e-05,0.007477463525630047
2023-07-28,P2,0.3530560306858426,0.12145002736686143,0.22196388078760768,0.011594195653674819,0.33081322664647933
2023-08-28,P2,0.06072239041048073,0.04040935599401506,0.2216646136779101,0.004360289436335902,0.06470568832580537
2023-09-26,P2,0.019115766488808538,0.0,0.21774171926091584,6.420909389529094e-05,0.006854295573873588
2023-10-25,P2,0.4426799142077059,0.12828900948415678,0.22172366258144832,-0.0014483814223613142,0.30444053162244133
2023-11-23,P3,0.03300185116320791,0.012950763293754315,0.2240918387050625,0.0011165938084588022,0.07062423765847901
2023-12-22,P3,0.0,0.0,0.22499999746296734,0.0,0.007475092680149235
2024-01-22,P3,0.470283816880997,0.03222515812148665,0.2249999953087173,-0.0017764897253881437,0.022411309667945748
2024-02-20,P3,0.15054591839098883,0.05148855931239127,0.2206483038208248,0.010881692449986036,0.10794271037956056
2024-03-20,P3,0.02268259834137803,0.017560419371403246,0.21283732092879437,9.346926025954124e-05,0.021768190313744894
2024-04-18,P3,0.5778141870161674,0.08512502213822404,0.21803798274782707,-0.0005968659374196021,0.09485633948374601
2024-05-17,P3,0.11907807243985974,0.03576868439224839,0.22008310773888196,0.005401332843204751,0.04456623213055416
2024-06-17,P3,0.022682225742525812,0.015311716747594234,0.22266930622845651,-0.004173827295083575,0.04469115544947983
2024-07-16,P3,0.3409583470590887,0.045520464830388636,0.2249999986630894,-0.0023566233013481604,0.045972417250657836
2024-08-14,P3,0.14525812161356608,0.049966867748049995,0.22032833477552088,0.002660346891438752,0.09789087524092052
2024-09-12,P3,0.012728274150904238,0.0,0.2152033840975298,-7.745556395865512e-05,0.030000857561861608
2024-10-11,P3,0.2327608716435159,0.044019119052045926,0.19019199159369493,0.008092482801464768,0.01727385111459441
2024-11-11,P3,0.14407859237991424,0.0247704066379699,0.19585476370775845,-0.0020086995136827635,0.1293807967825598
2024-12-10,P3,0.03164769135805723,0.00024276767692160434,0.1939021573292785,-0.0019486596321439183,0.015913279364909327
2025-01-08,P3,0.08835009946034862,0.010864919730627035,0.2048241593913578,-0.0014272924690380121,0.0
2025-02-06,P3,0.12469450424660698,0.04195729293288916,0.18674885512835065,-0.003143625080886441,0.38563651266598103
2025-03-07,P3,0.027271979429478687,0.0058237712804470616,0.16356245649497428,0.001184967493735492,0.027858655696471783
2025-04-07,P3,0.11325559663838984,0.010335073445135439,0.1798301763461228,-0.00146694773898075,0.0
2025-05-06,P3,0.10228582831899527,0.029014388549885535,0.2001567736958635,0.0028820147638820436,0.4156323772308027
2025-06-04,P3,0.023608905194699305,0.0,0.21743390736774731,-0.0010338487942126958,0.09316777244632068
2025-07-03,P3,0.08614056842800041,0.007745806799168557,0.22298564409907826,0.0012890590655585223,0.0019996339730399652
2025-08-01,P3,0.17038228811716918,0.07371061691771556,0.21943860150716038,-0.00443604619968205,0.38133194080002497
2025-09-01,P3,0.04110250779194781,0.0,0.22499999558921593,0.00012592868008118568,0.08494730690638726
2025-09-30,P3,0.030000441151786558,0.0,0.2249999982493994,0.0005406379110324393,0.010336794227178666
2025-10-29,P3,0.38367186601224307,0.13709285616786931,0.22499999979408777,-0.0071563671151304905,0.3109859959369839
