date,sub,ic,ic_held,tc,n_held,prec_top20,prec_bot20,spec_cap,realized,top_decile_spread,kurt,max_abs_z
2018-11-27,P1,0.026281772346634695,,0.08168808495109738,4,0.1,0.0,0.001026795127212143,0.001708421903111157,-0.00955242041087992,0.10230528785616988,2.7817102505302955
2018-12-26,P1,0.14007760160607877,,0.1437459637908821,5,0.25,0.15,-0.0025000799068082705,-0.0020937354946217734,0.026384294646773755,0.5668059395631584,3.480685719569671
2019-01-24,P1,0.04184039432765666,0.33571428571428563,0.17254813927434945,15,0.3,0.0,0.005359721965953889,0.006534161972252983,-0.007132912888695821,0.08064852326477467,3.144878896946003
2019-02-22,P1,-0.23719258153122427,-0.5153846153846153,0.32703707959829653,25,0.1,0.05,-0.006782592665522666,-0.007955134130436914,-0.036733445247223016,-0.3366462994814414,2.81942317096065
2019-03-25,P1,0.025556097244625743,0.31684981684981683,0.3264438860172568,27,0.35,0.25,0.00918507858455207,0.011764029990733338,0.06146595288743584,-0.1323655755689157,2.909134706274994
2019-04-23,P1,-0.12326491327181804,-0.10344827586206896,0.3118259996233758,30,0.2,0.05,-0.009326645496091149,-0.013067145014447723,-0.018045261499927082,-0.5170548134226549,2.445243524454636
2019-05-22,P1,-0.140671228004101,0.02758620689655172,0.26335028142196554,29,0.25,0.0,-0.000637879615154252,0.0018288912058055384,-0.027906065912099584,0.09806179678626448,2.8350233672609395
2019-06-20,P1,-0.035739543447785245,-0.17620967741935484,0.33506371225911746,31,0.2,0.05,-0.0032851828201558913,0.0024724670707818586,0.011156911258010898,0.5729946162712753,3.4256418094010344
2019-07-19,P1,-0.039141125754910126,-0.2302807486631016,0.3129273537249092,33,0.25,0.05,-0.0020349545712882804,-0.00323128918656701,-0.01001472012502573,0.7052587100456629,3.4132991797997767
2019-08-19,P1,0.04777410688598011,0.1976833976833977,0.29407794547330357,36,0.3,0.0,-0.0006080977977105917,0.005008260063276815,0.010452592200768076,0.645045721958831,3.5520813660267114
2019-09-17,P1,0.05938244683887366,0.09459459459459459,0.25972446383097997,37,0.3,0.1,0.0007882140662395423,0.00010989585605392094,0.01982028856191439,0.787055167938032,3.454337240425645
2019-10-16,P1,0.20627567644142228,0.3708683473389356,0.30774492542448345,35,0.4,0.05,0.015129609380033058,0.01819844700581008,0.07097936556294851,1.7234462089293618,3.680219793961141
2019-11-14,P1,-0.07392386618905955,0.03643724696356275,0.33021067330459597,39,0.15,0.0,0.0007178163300794538,0.00502059368150376,-0.005697694066898641,1.6278997720061135,3.6718236655671666
2019-12-13,P1,0.1969279339445085,0.33972125435540074,0.42013842511080085,41,0.3,0.05,0.008732477770241793,0.017371310400885465,0.0515783039456019,1.8350146573998298,4.302723564755123
2020-01-13,P1,-0.0012729775432429177,-0.10023498906085407,0.41097268821206867,42,0.2,0.05,0.0018571838189732467,0.003312597549073093,0.013632195677409942,0.2928240589977831,3.0472935488118424
2020-02-11,P1,0.12249210232593158,-0.11097560975609759,0.46785193177624607,41,0.2,0.15,0.0019625817203354585,-0.0070484221581663675,0.025422880829093893,0.23031309798634236,3.153705871580504
2020-03-11,P1,0.1020026295649902,-0.09634551495016612,0.4490534263476957,43,0.15,0.1,-0.007037729219985243,-0.00991719853320805,0.009298844530487998,0.9128229381330906,3.3678853052795468
2020-04-09,P1,0.018133211775092042,-0.07001586462189317,0.3376555515854493,61,0.2,0.1,0.009572193822733803,0.015207678861224982,-0.005413149157363465,0.12173819399310082,3.2950568797069653
2020-05-08,P1,0.07632976431978572,0.07971946230274694,0.32356880468070776,59,0.3,0.1,-0.0008906437151963357,0.008998038984320278,0.005640392844958221,-0.3721370956655181,2.819889417965698
2020-06-08,P1,0.05788368553871049,0.10148601398601399,0.26818015449519367,65,0.25,0.05,0.014472834646462488,0.01638366325172358,0.05650777577113926,0.3935021441577944,3.496152790321235
2020-07-07,P1,-0.23570919458303632,-0.10847069597069595,0.43048294195835174,64,0.15,0.05,0.004284539481218963,0.0029419978345130993,-0.02647423737165279,-0.4256148240600446,2.661845819187635
2020-08-05,P1,-0.13875286548130453,-0.1149763823284246,0.3277474908978829,60,0.3,0.0,0.008934214475038307,0.006398041216043815,0.014987216056513751,-0.6780643982896826,2.836545208211307
2020-09-03,P1,-0.007241239814297547,0.15264976958525348,0.30664021113058887,63,0.3,0.05,0.00793375465884289,0.00430781483826137,-0.005616347686475367,0.2374759049466677,3.0134788442449736
2020-10-02,P1,0.248443955877336,0.18576394229290352,0.31604942951366516,58,0.15,0.1,0.008751960698811845,0.00784768632369004,0.08933040407454595,0.3964644885634585,3.147505277070521
2020-11-02,P1,0.3190023122701945,0.31089466089466095,0.3617129752473371,55,0.3,0.05,0.018115902433563664,0.024506687298555763,0.10514702960070374,-0.36564248130900445,2.615550450522418
2020-12-01,P1,0.058504226526666925,-0.05407057515976661,0.27991167885978546,60,0.15,0.05,0.0019853960553033855,0.006148371158534172,0.02368104790925589,0.17881240454412772,3.0013076838006834
2020-12-30,P1,0.22976574049505327,0.44167824395665467,0.25122626132443804,60,0.35,0.25,0.019565937568141793,0.015116223946944674,0.06627288587782101,0.6424452058728081,3.5806127412087543
2021-01-28,P1,0.1582673135969069,0.13020283412058908,0.2870190667525871,60,0.2,0.15,0.002569696763407315,0.003569402442295644,0.02769196349656186,-0.21198781848820936,2.7929978373708
2021-02-26,P1,-0.3259234739310641,,,0,0.05,0.0,0.0,-7.832229400328572e-05,-0.11872418939139119,2.225945880807304,4.227519345157111
2021-03-29,P1,0.1585443349283049,0.04895104895104895,0.12985473840372638,12,0.35,0.1,0.003610515654583148,0.006538992918247777,0.04345806961650586,0.6538156320809416,3.6251480536172127
2021-04-27,P1,-0.17922877163863882,-0.348695652173913,0.38066381026532825,24,0.0,0.0,-0.0057184906193880536,-0.006592958026262696,-0.06298999735744883,-0.2738035088745039,2.958108341364585
2021-05-26,P2,0.13030505060865594,0.20444938820912126,0.1800735702063975,30,0.3,0.05,1.4983860746361002e-05,0.0061692512824771395,0.02732356743480143,0.7383681322745441,3.311886188836172
2021-06-24,P2,-0.2719794488295437,-0.4272844272844274,0.24833068362480126,36,0.0,0.0,-0.010055454660312508,-0.006801455854380523,-0.05515840000365831,1.6080266055378605,3.8881250568299435
2021-07-23,P2,-0.20184811342306597,-0.2504201680672269,0.27528964189305744,35,0.2,0.0,-0.003280838639152605,-0.0004645897801092147,-0.045089101815753506,1.0442113078533461,3.9112363329518205
2021-08-23,P2,0.27129759357974015,0.4126050420168067,0.25521725248228044,35,0.3,0.45,0.003389166936994027,0.003379124456183491,0.08936569570052086,0.7935266543809987,3.256720235199765
2021-09-21,P2,0.04014101567839342,0.2752092798341545,0.25348318244239076,38,0.25,0.0,0.006875561826938645,0.007563530918710315,0.0024471434387409096,0.8080700365750748,3.1437584324416163
2021-10-20,P2,0.09810833923636218,0.21242294926505448,0.28492360318433235,37,0.45,0.05,0.009081961314535203,0.015838259013666756,0.046981916115839115,0.5641868957453164,3.3425818562967704
2021-11-18,P2,-0.20322323725771585,-0.4371606838991978,0.31868097585324767,42,0.05,0.0,-0.006010313419677255,-0.009449042739493652,-0.06043889318538556,1.1313183675644103,3.4157531877149765
2021-12-17,P2,0.22434099432979615,0.2615384615384616,0.2873229172221333,40,0.2,0.1,0.005004839609993465,-0.0005867287407135269,0.0409439422327754,0.7885839679267206,3.4922817061282774
2022-01-17,P2,0.03966298725537248,0.013438735177865613,0.31559572690591725,45,0.45,0.05,0.011833112585592467,0.002619101046250849,0.05337375199418793,0.8583806924107855,3.591099954450392
2022-02-15,P2,-0.08433498832853724,-0.20902043692741368,0.21558338025179444,44,0.2,0.05,-0.013673964777145147,-0.017055170983398482,-0.06482331218329249,0.11414385934327687,2.9537584464824054
2022-03-16,P2,-0.1592666820048749,0.013135041250542769,0.30871560877040566,48,0.2,0.0,0.006718481755952119,0.005974206398049686,0.0029865290101691727,1.0229952218241332,3.978041045819284
2022-04-14,P2,-0.019095765759569016,-0.127104532839963,0.18609820554592124,46,0.05,0.1,-0.0007281812439143545,-0.007833911162204887,-0.010025007476119643,0.5073029229474755,3.39344267876251
2022-05-13,P2,0.202161431948666,0.20288753799392095,0.22010345011464832,48,0.2,0.15,0.0019363951384493638,-0.0029210916701669642,0.049394512317469656,-0.01978278512798637,3.559860678554074
2022-06-13,P2,-0.2592633416000735,-0.17634252539912915,0.35188582275934166,53,0.1,0.0,-0.006696799266012373,-0.00361292219250986,-0.04723583115237978,0.5812535198360358,3.6876672958680157
2022-07-12,P2,0.1726768929304063,-0.0043541364296081275,0.23755286995849137,52,0.3,0.05,0.0007747046964333787,0.009423638625740693,0.030404554086444144,0.0783403734999597,3.6284377640399
2022-08-10,P2,-0.02296404186732101,-0.01583710407239819,0.3322993347242452,51,0.4,0.0,0.0020518461159252576,-0.000753153625088876,0.01578396710117159,-0.7319881000968964,2.5814692622030875
