date,l1_repro,gain,extra_turnover,conf,tic,proj_displacement,proj_displacement_k,l1_w0_wk,turnover_0,drift_gap,solver_opt,status_opt,solver_proj0,status_proj0,solver_projk,status_projk
2018-12-26,2.4174083397630275e-09,0.00018735268678571614,0.0002914128805395211,0.25,0.0,0.018953898884522702,0.018953898877187906,0.006289017935110448,0.03703826149600359,1.4606041270423407e-16,ECOS,optimal,ECOS,optimal,ECOS,optimal
2019-01-24,1.5541915947308211e-09,3.382747919599953e-05,8.716328175073507e-05,1.0,0.08667782353773529,0.008477619055955834,0.008477619104022217,0.0018738347967947747,0.07668624407360236,2.806489716950581e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2019-02-22,3.3440349129470603e-09,-5.487617909861524e-07,1.592748989670545e-06,1.0,0.06061557131797543,0.009603425614921317,0.009603413443432674,3.47112910231188e-05,0.07567750295954956,1.7892163532962312e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2019-03-25,7.572312371822663e-09,4.768114473136968e-05,8.141256052089305e-05,0.2,-0.013576683001427343,0.008050297303674547,0.008050297303671544,0.0027056539568388227,0.01591581638122231,7.4988130307123645e-19,ECOS,optimal,ECOS,optimal,ECOS,optimal
2019-04-23,5.237075937763517e-10,-0.00011168758466849582,0.0001457120042134899,0.2,-0.0033501888860970512,0.01445720541439418,0.014457205166734512,0.004670300263669269,0.027043619831204853,1.3770842519094251e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2019-05-22,2.0036333057643716e-10,-1.737950486464397e-05,0.0002128685715842779,0.2,-0.02816687899610885,0.022726516681253816,0.022726516582864557,0.006533571138719737,0.038291583529157056,1.0548735923479698e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2019-06-20,9.196144423004642e-09,7.472207068085507e-05,0.0001909269988591561,0.2,-0.060889628385808615,0.018301898371011333,0.018301897552362216,0.005853100672733723,0.03405296866464788,2.7226646598282004e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2019-07-19,3.939471495883321e-09,-9.640631296633492e-05,0.00013725297462229002,0.2,-0.088512489025046,0.012680111748191086,0.012680110139720193,0.0041621338787753166,0.024253569914766262,2.456010525262021e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2019-08-19,5.303300240981838e-10,2.5896028798232842e-05,7.092638712059493e-05,0.2,-0.1058269915772257,0.006375316151057681,0.006375315848601748,0.0021941260176308675,0.022198392380501242,2.579738792801702e-16,ECOS,optimal,ECOS,optimal,ECOS,optimal
2019-09-17,5.866244528076852e-10,-6.839192164910735e-07,1.7917567336180745e-05,0.2,-0.04048170725640907,0.011809190230836007,0.011809205307881002,0.0005542251802822244,0.022935381454928738,3.0929770991928194e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2019-10-16,1.1872514308381744e-09,5.222677076766726e-05,3.118847615388859e-05,0.2,-0.039604689153728355,0.006254497308386992,0.006254497188358483,0.0018880118915380263,0.011579685031144081,1.4299052839144274e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2019-11-14,9.228117269903003e-09,-1.682157910224817e-05,-0.0002492126191168953,0.3796071296138092,0.005184285184552368,0.05186253289523529,0.051862532893297696,0.007782253867602014,0.0918085885367261,6.400044350404212e-19,ECOS,optimal,ECOS,optimal,ECOS,optimal
2019-12-13,3.957600030051631e-10,-2.7205891881629078e-05,-0.00012103770550545706,0.6358541330459284,0.015434165321837135,0.011773645563013854,0.01177364556331786,0.0013015717519328182,0.05454964482292814,5.857491597613524e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2020-01-13,1.3546187605950343e-07,1.2551588453529101e-05,0.0006680379235136369,1.0,0.06491493360102511,0.00286993572612568,0.003555873132181234,0.000851953960067443,0.05731747425828057,2.4416446205391774e-16,ECOS,optimal,ECOS,optimal_inaccurate,ECOS,optimal
2020-02-11,1.2416574064043125e-09,0.0002943635207950578,0.004775611878003516,1.0,0.09281000645579364,0.04315385549787541,0.04801128333810903,0.011798136202780536,0.10712887880515887,2.9136341266365446e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2020-03-11,2.318139378925486e-08,-7.782837450515681e-05,0.003820746675080894,1.0,0.08749079012876897,0.02912656898835439,0.03279131904475453,0.00713377688766676,0.09387886392594093,4.529822260395312e-16,ECOS,optimal,ECOS,optimal,ECOS,optimal
2020-04-09,1.8866409838844735e-10,0.0003500771625564861,0.006723666788798183,1.0,0.10582983445115292,0.04699414088445953,0.05292432979344889,0.014324709839734794,0.10377277447695635,1.266655983546465e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2020-05-08,9.877382581582286e-10,3.39745703077773e-05,0.00011349729395761926,1.0,0.10926564629200054,0.005264869886847386,0.005264871923604553,0.0011066785381583007,0.060897297085679106,3.270371445185498e-16,ECOS,optimal,ECOS,optimal,ECOS,optimal
2020-06-08,1.3825503042130386e-07,6.057974306942685e-06,-0.0001682019237044946,1.0,0.12446202048242062,0.0039018376767219866,0.0038755129034332633,0.0012384450617530813,0.04785472626015752,1.0529045990681275e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2020-07-07,1.514040518566261e-08,2.1840373554278413e-05,0.0020105300215970748,1.0,0.07635524173727029,0.01116112028252836,0.013288366777292478,0.0034814790173104604,0.0524448548675004,2.7851647239931983e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2020-08-05,5.4920475968636975e-11,6.998958790155278e-06,-3.585904948819746e-05,1.0,0.034896245626639746,0.012287144756998205,0.012287144596624753,0.0015319272845138606,0.05041432662333427,9.874382754943032e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2020-09-03,2.410718113963926e-08,0.00010394226716959342,0.008300051867039221,0.2,-0.013159457918992054,0.08465946872024667,0.0929595205872859,0.021757370577385637,0.09900732810522328,3.941761579389971e-16,ECOS,optimal,ECOS,optimal,ECOS,optimal
2020-10-02,5.803888414141022e-10,-1.3053855754946313e-05,-1.4788885761840564e-08,0.2,-0.056071071347432576,0.013185613835897789,0.013185599047012032,0.0005300856916366321,0.022274169055795427,3.000078598938003e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2020-11-02,3.289687814113909e-09,0.00013117079744049467,8.069773285384815e-05,0.2,-0.05469534994056182,0.01438398469628454,0.014383984718487754,0.0024849914677237336,0.027495461991412017,6.278869921327188e-16,ECOS,optimal,ECOS,optimal,ECOS,optimal
2020-12-01,4.088589945259607e-10,-4.234488612168839e-05,1.1062858962240796e-11,0.2,-0.0031188926953762686,0.07080915873351458,0.07080915874457744,0.009196041896739216,0.08949339469566231,6.969558628554911e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2020-12-30,2.2447926553729435e-09,-5.606438172406536e-05,-1.0990993601356358e-09,0.32568461881512273,0.0030273847526049087,0.03423702361980326,0.0342370225207039,0.002902052664127015,0.05559893185022288,3.6989832684741157e-19,ECOS,optimal,ECOS,optimal,ECOS,optimal
2021-01-28,1.1228261468772883e-09,-4.997983096914265e-05,-0.0005890363293162004,1.0,0.05780177839532219,0.02162703306621709,0.021627032268204997,0.002831698531762711,0.079234106304764,3.3153891127180368e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2021-02-26,5.245609297854429e-10,-8.919934506373446e-05,7.80880727486652e-05,1.0,0.10765187853569892,0.0088060589837438,0.008806058983747263,0.0026297101424019443,0.04339899899488099,3.3914059231079824e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2021-03-29,2.3147138400355852e-09,2.800764896652567e-05,5.729284123280609e-05,1.0,0.06477874511452598,0.009825815035685224,0.00982581503456179,0.0012631541690543376,0.05774271764994074,2.5849481120546013e-19,ECOS,optimal,ECOS,optimal,ECOS,optimal
2021-04-27,4.964174089861708e-08,-3.476960473831998e-05,0.000112349225437465,1.0,0.0575888282467392,0.010620328502728914,0.010620328502729356,0.0024407281611539115,0.042519598445910384,5.620446084237665e-20,ECOS,optimal,ECOS,optimal,ECOS,optimal
2021-05-26,7.767366415639996e-10,2.7619014085553607e-05,3.9136218858280836e-05,0.2,-0.01572954435180829,0.005419736477702354,0.005419736478192064,0.0013186633503995586,0.017690106473834878,7.034202377808745e-19,ECOS,optimal,ECOS,optimal,ECOS,optimal
2021-06-24,3.861690243989244e-09,1.1828886713873962e-05,0.00011294175317574581,0.2,-0.0027776673561230292,0.009885951779425358,0.009885952378326356,0.00176084397459588,0.018661160845536432,1.0093061803263135e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
