date,rank_stab,trailing_ic6,pred_disp,mkt_vol21,fwd_ic,pkl_ic
2018-11-27,,0.0,1.040432009525687,,-0.07249590128616097,0.02592642635773553
2018-12-26,0.9302521786220023,0.0,0.9923185037787774,0.26156224806006095,0.4083127555379183,0.1453865132366381
2019-01-24,0.9101357655737826,0.08565646979718682,0.9520187880535121,0.16829372827101746,0.18290424063945254,0.007271825850675957
2019-02-22,0.866672624578126,0.05952825514834986,1.0131683102196787,0.10947880602999417,-0.24736069928890897,-0.2316339460410147
2019-03-25,0.888314493177647,-0.013262295148991278,1.0143674461907162,0.10778423362221744,0.18425330959241382,0.0495680320718179
2019-04-23,0.8170041993703139,-0.000696229704829443,0.9775325978769613,0.0591186775321811,-0.18883727742556441,-0.1323959575670077
2019-05-22,0.8170527064632895,-0.02264618434852582,0.949318023873334,0.13217795249858103,-0.014851547297721424,-0.17447534157721842
2019-06-20,0.8968656497813486,-0.05604647900435148,0.9680643864227636,0.12728338857516946,0.17454438934572006,0.00537944887326596
2019-07-19,0.8415311865754399,-0.07938098973158017,0.9110013076198019,0.07522368750673923,-0.18889883432616233,-0.10410815148615699
2019-08-19,0.7995997798380426,-0.097944319287719,0.8866541885738588,0.19541433643928788,0.259381434956849,0.11635357271298571
2019-09-17,0.8719817859853276,-0.039946399495385594,1.0233127045051102,0.1295774095100541,-0.09225048191121403,0.0028646452585984724
2019-10-16,0.8993660543193565,-0.047730297297588826,0.9064374625303052,0.13216531889592723,0.2697063525792807,0.17069394693704085
2019-11-14,0.825017707890636,0.0027846867864192624,0.9764795819420532,0.05991960023506337,0.06708963228300244,-0.09987857446420982
2019-12-13,0.9261651792038532,0.015217481305254028,0.9936774623861122,0.07829891505000788,0.39007953372594256,0.2648513549066035
2020-01-13,0.9329083439580677,0.05846279897747695,0.8230683489633879,0.07424110940227341,0.07227904782474115,0.0146377488103781
2020-02-11,0.8162444288394598,0.0782537823602328,1.0316871428195513,0.12739624437804137,-0.12914565762367722,0.1385143810369427
2020-03-11,0.8048210254792406,0.08194725041422564,0.8415771510331616,0.4376839533602718,0.13957295947492093,0.1650823256821776
2020-04-09,0.6625736890259154,0.10898353048482216,0.8784697130255792,0.8068717779406613,0.20446169173639514,0.146410332715921
2020-05-08,0.7948465808261116,0.10493626144796885,0.8925046372759629,0.26287979255186866,0.22662387505580667,-0.0046094319080776675
2020-06-08,0.7791428101477995,0.12081445187399086,0.8080938751876653,0.17194213259762364,-0.036828417869045095,-0.028907168037602817
2020-07-07,0.8347671977037622,0.07185469804995648,0.9935071630968952,0.2590230310758305,-0.09440580994394251,-0.14653156363776462
2020-08-05,0.8586099285315251,0.044993145975266026,0.9632129760396911,0.12846473120412125,-0.11084741191654948,-0.16429851091290862
2020-09-03,0.888678700082834,-0.005475669349709185,0.9094866793549158,0.17124976283532206,-0.16412706362813273,-0.10250235980813314
2020-10-02,0.8892392749128315,-0.05007311693142765,0.9828597649241106,0.21316305600059066,0.13572646980781625,0.14614116220006823
2020-11-02,0.8428243811834275,-0.050117978684069774,0.908479490749055,0.21342441488010946,0.3606876160873356,0.2802130321064403
2020-12-01,0.7186763200788447,-0.002647568014983457,1.0594119644718718,0.15954598897047884,0.018174064667753308,0.02701755050983663
2020-12-30,0.860717940942345,0.00667321840958979,0.9965186618691493,0.07495929456193372,0.22605852697016793,0.17266403851256584
2021-01-28,0.7658523179561049,0.05987248543464487,0.9709359995668263,0.14360674888150415,0.10635305712444562,0.1255581668625147
2021-02-26,0.730040559493575,0.10818193173054876,1.0897671411162335,0.15336198557036965,-0.4230883635058208,-0.3773032649692991
2021-03-29,0.8698277626488844,0.06238178087035443,1.1550811343519016,0.18270637851935057,0.32546859068235034,0.10140384887051201
2021-04-27,0.8895462655644217,0.05492556198209505,1.066031524892795,0.10726514257452432,-0.18948011319927827,-0.13866911589871742
2021-05-26,0.8457972203702755,-0.014888129352097892,0.9864722889127671,0.14720126828943964,0.30758593680794816,0.12525490817710933
2021-06-24,0.88062045139844,0.0014847635924475587,0.9776210762150558,0.08543967496815405,-0.1841073435001329,-0.33258115800810295
2021-07-23,0.8942976096676285,-0.08272276916099723,1.0111370354090623,0.10627231751617679,-0.03711612250511681,-0.15362372895579726
2021-08-23,0.8419664733701988,-0.1292530851307159,0.9824143638402785,0.0802399377746596,0.19507146173317355,0.21692561970946603
2021-09-21,0.8520070443310249,-0.030214937684255042,1.0324574258413155,0.09110762765163578,0.0329493464147048,0.0046706074760735055
2021-10-20,0.8821630516537609,-0.046337144583328126,1.1192873765844287,0.15052382705643944,0.19728839935549936,0.034819917859200834
2021-11-18,0.8257187319927035,-0.017422305623675093,1.0396545004491529,0.07388563800358802,-0.21835945958841516,-0.20156060177861623
2021-12-17,0.853209106691282,-0.07189155728296269,1.0453092066777052,0.18456908110684683,0.03361595478056844,0.193101548196733
2022-01-17,0.8812030075187971,0.015722227084509977,0.843366343731403,0.14725218695244358,-0.01420217209690894,0.10250982065091808
2022-02-15,0.7937266898304566,0.05841115201896254,1.1320443774281308,0.23497494978642547,-0.3379016414714608,-0.18085114419523296
2022-03-16,0.8568390320645913,-0.007884975298487298,1.0326169873066482,0.26912980579292956,-0.21608421767229014,-0.21919146765982916
2022-04-14,0.8296258259114658,-0.04519532115447108,0.9795182504464567,0.18261256791371208,-0.09991925698949712,0.13530096672936284
2022-05-13,0.7777347228628558,-0.028448479676110736,0.9895982635590486,0.3063470839706338,-0.16016104090012265,0.0989530563998649
2022-06-13,0.8528271032190405,0.021637130020302788,1.03820254602819,0.30227728615288185,-0.07470946126223063,-0.2508041482414588
2022-07-12,0.778701553184882,-0.05234715271939585,1.042881421707507,0.22263585630524438,0.35010125663198144,0.2654113468662932
2022-08-10,0.787258722723038,-0.02519689835016667,1.1394911799582792,0.20103733153684492,-0.1177874879170002,-0.01572080287979985
2022-09-08,0.8715042405315209,0.0023248252024055207,1.0796761488759867,0.18105072294923202,0.10803011017946264,0.2678030153918829
2022-10-07,0.7746897785475907,0.08349057237769086,1.0925296575730283,0.2829819493174132,-0.3123742766602369,-0.294046224855332
2022-11-07,0.7499317560509546,0.011932707113575053,1.0352109085385506,0.24515824820035273,0.08309401304677569,0.1353813696165484
2022-12-06,0.8193950125913226,0.01800409264968898,0.9472021582232999,0.27792256837114093,-0.144790278121266,-0.03276980363526779
2023-01-04,0.7207358956051714,0.05434315008405415,0.9141434914853072,0.1680430675530932,0.4601319233948745,0.19402900248002206
2023-02-02,0.6895265388659626,0.042446092686342286,0.9018974776636349,0.1578978496493224,0.021330706485372476,0.07848838687921056
2023-03-03,0.7932133616816378,0.058147624312844017,1.13520175071889,0.14546375661821367,0.0757535939723744,0.05772905374139158
2023-04-03,0.7106511112967505,0.02313529737109547,0.998703799005279,0.16130997326627297,-0.2205819520928845,-0.11239928926023385
2023-05-02,0.8068880042318857,0.05340978663694516,0.9560210362297314,0.11166661213798834,0.30585885576323146,0.16263767192035378
2023-05-31,0.7540335159916448,0.05795250368757939,1.0305049697989312,0.12686324196706705,0.12764662398611074,0.04638967257141308
2023-06-29,0.7844722350324175,0.07114574972202621,1.1025984398322017,0.1100173218205878,0.14136295201150206,0.10754008083986655
