date,expo
2018-11-27,0.013546315089940284
2018-12-26,0.02109725535154073
2019-01-24,0.07221546862325257
2019-02-22,0.09429661486919941
2019-03-25,0.09790834581386983
2019-04-23,0.08196738742904396
2019-05-22,0.08790267582998776
2019-06-20,0.10799615917321444
2019-07-19,0.12173203506751595
2019-08-19,0.12517893467696262
2019-09-17,0.11223684901721906
2019-10-16,0.09847735169338866
2019-11-14,0.09826336711251875
2019-12-13,0.12335384626699136
2020-01-13,0.21957234979292942
2020-02-11,0.21777796555240783
2020-03-11,0.2362591006612983
2020-04-09,0.1469007154690774
2020-05-08,0.10604476610319218
2020-06-08,0.09124079353129758
2020-07-07,0.102666968508197
2020-08-05,0.13104574044205516
2020-09-03,0.16883742270198418
2020-10-02,0.2633535814260993
2020-11-02,0.26718777360532586
2020-12-01,0.22787583097555378
2020-12-30,0.21554112633935246
2021-01-28,0.21716794677813472
2021-02-26,0.2628144909320453
2021-03-29,0.21952254048472708
2021-04-27,0.1977306900386977
2021-05-26,0.21553601321116123
2021-06-24,0.21284287751473782
2021-07-23,0.19094521343955165
2021-08-23,0.2291920135627507
2021-09-21,0.2319826002661999
2021-10-20,0.2628473210849717
2021-11-18,0.19154896392009585
2021-12-17,0.19635118164069174
2022-01-17,0.20913290181549432
2022-02-15,0.17014083613839065
2022-03-16,0.16048248935759865
2022-04-14,0.1649618389586434
2022-05-13,0.13276999621008204
2022-06-13,0.16886907956151645
2022-07-12,0.15377451916561097
2022-08-10,0.15164274890650303
2022-09-08,0.13862747862154692
2022-10-07,0.13487756743249482
2022-11-07,0.07120658779767218
2022-12-06,0.07410831892881614
2023-01-04,0.10791991333634662
2023-02-02,0.09910869753347075
2023-03-03,0.0908619656252891
2023-04-03,0.07764834052873773
2023-05-02,0.08582259605982646
2023-05-31,0.08748032888755466
2023-06-29,0.10591233342488074
2023-07-28,0.12218949232391728
2023-08-28,0.1255823526261321
2023-09-26,0.1681589375846396
2023-10-25,0.14451073253700156
2023-11-23,0.138518745151519
2023-12-22,0.13939183410162231
2024-01-22,0.12497610063384793
2024-02-20,0.03700017375110293
2024-03-20,0.056237870673433235
2024-04-18,0.07494438629799781
2024-05-17,0.07447844445902019
2024-06-17,0.06728753751718297
2024-07-16,0.0625711206889736
2024-08-14,0.056750845879941184
2024-09-12,0.06228956751392914
2024-10-11,0.04483981066599538
2024-11-11,0.043024940991587664
2024-12-10,0.06335575973085476
2025-01-08,0.09649372523165625
2025-02-06,0.10943536684575944
2025-03-07,0.1288711327927478
2025-04-07,0.11482354546283492
2025-05-06,0.09551288774114838
2025-06-04,0.09547069844917022
2025-07-03,0.10167067395601029
2025-08-01,0.10823721985841456
2025-09-01,0.11590436897772816
2025-09-30,0.08483663410806927
2025-10-29,0.08539215820962008
2025-11-27,0.07730692586106654
2025-12-26,0.07861573707827299
2026-01-26,0.04641296530748662
2026-02-24,0.02089190156609511
2026-03-25,0.0136950063424238
2026-04-23,0.001031002526077223
2026-05-22,0.0021194251448224954
2026-06-22,0.008132188146177813
2026-07-21,0.015262707314606718
