n,raw_ic,resid_ic,vol_overlap,date
178,0.002870432628883837,0.051619856393408436,0.5361278056700148,2018-11-27
178,0.34219855137859717,0.07361300693988589,0.456995064510329,2018-12-26
178,0.24645185588697338,0.17953377329564257,0.4550066122156295,2019-01-24
178,-0.09795218357156305,0.12925125195626477,0.42332542846412535,2019-02-22
179,0.1619747263980197,0.10981524491034252,0.5284027543840194,2019-03-25
179,-0.2669305828580781,-0.20629171636013643,0.5136390551734672,2019-04-23
179,-0.005606475432049007,0.04047245412508108,0.549384950484277,2019-05-22
179,0.22643925516223462,0.10607201891490385,0.5225933140696631,2019-06-20
180,-0.03139503420378237,0.20425321769190405,0.5198586784750115,2019-07-19
181,0.15481872666990973,-0.18794851557282494,0.5678881425700576,2019-08-19
181,-0.2923029286858484,-0.1487968753162123,0.555814372360254,2019-09-17
181,0.24860891729812304,-0.040766599882621976,0.5524078732476742,2019-10-16
181,0.11355727597730701,0.09815433185598929,0.5796957879420152,2019-11-14
181,0.2773412637781597,-0.07273794345617549,0.5669794729716329,2019-12-13
182,0.038933842922993615,0.0057935905232345776,0.6163244019033988,2020-01-13
182,-0.099640699491455,-0.015077667554798248,0.565827203156274,2020-02-11
182,0.13203049575514386,-0.04758985240825654,0.43845454844042525,2020-03-11
182,0.37443492281527013,0.06278595962501406,0.3032748134073964,2020-04-09
183,0.08619978989276521,-0.12490111456611813,0.3442708017176727,2020-05-08
184,0.07383605963677756,0.13302960836816857,0.377500197453714,2020-06-08
184,0.09006866566691939,0.2413496176147637,0.5364783696680273,2020-07-07
184,-0.08974214496175009,-0.012363468243724836,0.5987437127847909,2020-08-05
184,0.047968684834339484,0.22276396139546528,0.6288852630179789,2020-09-03
185,0.10001051894409456,-0.05016110079223684,0.6318640913234742,2020-10-02
185,0.18410995044732734,-0.10035442174292104,0.5708792708374794,2020-11-02
185,0.11185333369980925,0.040580341912740236,0.5235667214410399,2020-12-01
185,0.23353477269140988,-0.0898942420681551,0.5586090531235609,2020-12-30
185,0.11816375247698009,-0.05129828285508511,0.598897594665848,2021-01-28
186,-0.35452387257531887,0.05306286103250049,0.6217304789158957,2021-02-26
186,0.16086620839883012,-0.197221302724149,0.6380124631332387,2021-03-29
186,-0.197223351522403,0.012667316272629365,0.608111573295737,2021-04-27
186,0.18066397872530798,-0.12255080680128118,0.5790853220171142,2021-05-26
186,-0.09555557213247921,0.021180573362736547,0.5235252596175274,2021-06-24
186,-0.0587704346334423,0.06409745954337985,0.5343566045001925,2021-07-23
186,0.06842968024440614,-0.13946729202896185,0.5357263742688423,2021-08-23
187,0.21273403772139599,0.23069159029431954,0.5177458218407573,2021-09-21
187,0.0751003592287222,-0.1743326518852378,0.5286961133530428,2021-10-20
187,-0.12238182844197162,0.07481309114398864,0.5730083664117654,2021-11-18
189,-0.018156222254421803,0.04178709184308289,0.6065049263316559,2021-12-17
189,0.03075510652084128,-0.00206189231945111,0.5904496888492309,2022-01-17
189,-0.17619774275922168,0.15066389377699568,0.5319602765073616,2022-02-15
190,-0.05078757171077251,0.2070350396059958,0.42574661041191175,2022-03-16
190,-0.13836085708242474,-0.02011573436208322,0.4206929552379294,2022-04-14
189,-0.15995055009031547,-0.06737944151158037,0.4016466727931047,2022-05-13
