date,n_valid,raw_ic,resid_ic,self_mom_corr,sector_ic,score_corr
2019-07-19,180,0.40107204954885434,0.36241405572432717,0.6237270697655277,0.1591839254297972,-0.38229574986882303
2019-08-19,181,-0.2182704956185619,-0.19137367946840209,0.6438953311881488,-0.11179041952522613,-0.1354741438208899
2019-09-17,181,0.16490397263877926,0.15679228417695962,0.6037237164308987,0.09181389512881225,-0.1044598813072752
2019-10-16,181,-0.05595086313318357,-0.05470323198990148,0.5230566854876246,0.0589419788314816,-0.01222755145407079
2019-11-14,181,0.05784307773258049,0.0629765245005076,0.632582518770364,0.09640175662275109,-0.07219557606297937
2019-12-13,181,-0.2441968712686944,-0.28447271696253246,0.43590148341529555,-0.17336328496549488,0.04476150001011879
2020-01-13,182,-0.04408244594821897,-0.06564353077698853,0.47955821010797917,-0.050498093519558966,0.26378105184372735
2020-02-11,182,0.4566585484074842,0.46055117133710555,0.6076541880363997,0.23960144556105067,0.00016322858172479932
2020-03-11,182,0.1008160393179866,0.10516880329932171,0.6894094041091595,-0.0829266739057519,-0.02361333255041609
2020-04-09,182,0.331566359552955,0.3535378350934901,0.6718007108370301,0.31077074361197177,-0.06698011706615999
2020-05-08,183,-0.5488317811910115,-0.5448780757392189,0.7385488709437391,-0.47934371401940906,-0.08937480908257817
2020-06-08,184,0.37579511086282286,0.3867402393528581,0.5886170561152743,0.4048043767216967,0.15794147675829787
2020-07-07,184,-0.05710928319623971,-0.05545260458417566,0.6990291075109322,-0.07711275066941496,0.02038874227042438
2020-08-05,184,-0.14092003621583093,-0.14480687644065832,0.5204677236038604,-0.18708944154418136,-0.02641251372541465
2020-09-03,184,0.18335805513282347,0.18086870787094403,0.5985398085184258,0.07188842441871664,-0.030411666120860704
2020-10-02,185,-0.15378681626928473,-0.12032509409205078,0.4849361282741368,-0.18383306167317393,-0.2934384594973655
2020-11-02,185,-0.19332095068420457,-0.13320395074955804,0.40778401122019636,-0.2373753837989462,-0.1983435047951177
2020-12-01,185,0.1214577354240572,0.1275286454833148,0.6671518645767895,0.017094697459678135,-0.1971798819130855
2020-12-30,185,0.08072665933816005,0.11796807150040924,0.7099465524430462,0.042636746143057506,-0.1458227512224707
2021-01-28,185,0.4418729388575111,0.4389560295053388,0.7351844130245253,0.23794207952693228,0.057503506311360454
2021-02-26,186,-0.14720288686133087,-0.1557382418533111,0.5826825618096965,-0.0029866333471646562,0.014392346460657655
2021-03-29,186,-0.2668957382429868,-0.19985136798368525,0.6209651777014206,-0.3060100984199656,-0.2594297420519479
2021-04-27,186,0.2617448913464094,0.22279363270626545,0.5855526390630754,0.1753218113749423,-0.2700362256339486
