date,pairwise,ex_ante_te,realized_21d_te,cond,n_nan_cols
2019-01-23,True,0.017480366244210645,0.014664235252875345,2030910.6228239723,25
2019-02-21,True,0.023905670645705025,0.01796970552195204,1660256.1926651825,25
2019-03-22,True,0.026864438079310188,0.02108204141054516,1478742.0982802773,25
2019-04-22,True,0.02951044598227319,0.028443005262404963,1347100.2147105148,25
2019-05-21,True,0.03060960084556398,0.028690728013669557,1245120.843221075,25
2019-06-19,True,0.03189438682282393,0.01610582024237463,1124348.4245550795,25
2019-07-18,True,0.027530518348659685,0.0335718444254889,956384.3185533588,24
2019-08-16,True,0.02421494270377826,0.019339599589734212,1045940.8551301031,24
2019-09-16,True,0.02571218618359499,0.020455370629381946,1035258.8970882064,24
2019-10-15,True,0.024836724803251227,0.03330374720297478,1088790.5557078372,24
2019-11-13,True,0.025214142866107393,0.018492969534977224,978782.2430460217,23
2019-12-12,True,0.02654598987763965,0.021827639826215366,927878.1297481372,22
2020-01-10,True,0.030326473058092572,0.067229204463768,941712.3603061131,22
2020-02-10,True,0.030001616615412084,0.03943943807849781,915005.1376276445,22
2020-03-10,True,0.027693217513454313,0.09540580584981928,1328473.32617255,21
2020-04-08,True,0.03311392817096294,0.02889436358421775,1798971.457342449,20
2020-05-07,True,0.03657785342953784,0.043359103558006325,1879582.97893603,20
2020-06-05,True,0.04100046690947695,0.03493623825712901,1831274.2009240864,20
2020-07-06,True,0.038259872655519486,0.030325881534668166,1728795.3874843335,20
2020-08-04,True,0.04003640369680424,0.036487973139397945,1723575.4033269426,20
2020-09-02,True,0.02992903085994581,0.032241332439060244,1609227.9880260914,19
2020-10-01,True,0.029737339487867543,0.021159138262316184,1274187.137758386,18
2020-10-30,True,0.02739829033465089,0.02954030395452654,1104680.5553658062,18
2020-11-30,True,0.029907322994446463,0.0474751891095205,1063220.2512734095,18
2020-12-29,True,0.03628333620944164,0.03175825110856992,844098.221548151,18
2021-01-27,True,0.03372918951442303,0.02509951467946155,841940.8036358422,18
2021-02-25,True,0.033099827414447114,0.0447753333266821,878665.7278211142,18
2021-03-26,True,0.03395479800455807,0.029083617319831143,870985.0441839941,16
2021-04-26,True,0.03653597634814521,0.035807646235208636,897595.3281465699,16
2021-05-25,True,0.036733589383201336,0.023741891167783066,1184686.2033644354,16
2021-06-23,True,0.03627063148578143,0.02318871913270466,1159895.8602174497,14
2021-07-22,True,0.03589321278763972,0.02644993863754038,1148721.0475081888,14
2021-08-20,True,0.03600961139773691,0.030057053287129775,1083680.5249206799,14
2021-09-20,True,0.03107125835522042,0.025744586168689954,795770.1415098954,13
2021-10-19,True,0.03218683151961777,0.04772041835465774,813379.4116758228,12
2021-11-17,True,0.03201940035412116,0.05005480980183425,649922.0943059106,12
2021-12-16,True,0.030062816201473386,0.03746462302990836,795186.9999890021,12
2022-01-14,True,0.028081108615587748,0.035229690923113996,927618.4722945094,12
2022-02-14,True,0.029285131763576014,0.041464668574296884,1228422.023588874,12
2022-03-15,True,0.03048213889372616,0.03543560706331173,1400329.6542308237,12
2022-04-13,True,0.03157215081813303,0.038967031305236106,1567653.91439731,11
2022-05-12,True,0.028059299646571247,0.037315262498800024,1801599.4148206217,11
2022-06-10,True,0.03232450134005002,0.0397790789997223,2122469.426389592,11
2022-07-11,True,0.03316780428953224,0.030957677204545512,2101742.4596487726,11
2022-08-09,True,0.03583174676539446,0.026604395703233027,2075200.3052279043,10
2022-09-07,True,0.03481363292934104,0.03193716583827488,2152296.694651895,10
2022-10-06,True,0.03309481323866363,0.02950874790879579,2206367.5377616487,10
2022-11-04,True,0.030243352474167647,0.031900229575958436,2019750.2947564607,10
2022-12-05,True,0.028680933586716865,0.02543662872622527,2015027.6601742906,10
2023-01-03,True,0.03124972963536616,0.03161700115325852,1952936.0696389691,10
2023-02-01,True,0.034044937378894045,0.039822576572544933,2042458.0884396764,10
2023-03-02,True,0.03739913810841333,0.023582094331063827,1917051.4277093334,10
2023-03-31,True,0.03780871550295763,0.029594518854446982,1738447.131106583,10
2023-05-01,True,0.035653669103177625,0.03289032587322891,1675714.5432063516,10
2023-05-30,True,0.03702733299157178,0.019853846226784835,1372622.7886686595,10
2023-06-28,True,0.03968701246470236,0.03950772799265904,1201007.0903645663,9
2023-07-27,True,0.03688479586503337,0.03319045151085768,1088302.748164491,9
2023-08-25,True,0.036635864178259765,0.027809338443239993,995207.7802917511,9
2023-09-25,True,0.036516105789688225,0.040010931441182174,956887.7255718125,9
2023-10-24,True,0.029798360859141934,0.027685762315408594,987940.9181500217,9
2023-11-22,True,0.03061653818827624,0.025559250354120152,929872.2970577801,9
2023-12-21,True,0.03314909711434753,0.02726818099497814,942134.05736775,9
