ticker,date,d_log_shares,d_log_unadj_adj,tg_un_before,tg_un_after,log_ratio_jump,n_before,n_after
ENEL,2025-07-21,0.006,-0.033,1.081,1.056,-0.023,128,130
SAN,2023-05-30,0.003,-0.037,1.177,1.151,-0.022,128,129
V,2015-03-19,-0.118,-0.0,1.079,1.103,0.022,128,129
ABBN,2017-04-19,-0.002,-0.034,1.028,1.007,-0.021,128,129
OR,2014-07-10,-0.087,0.0,1.06,1.038,-0.021,128,129
CFR,2023-09-20,-0.001,-0.03,1.18,1.205,0.021,128,129
SIE,2020-09-28,-0.097,0.0,1.09,1.113,0.021,128,130
RDDT,2024-11-07,-0.082,0.0,1.016,0.996,-0.019,128,129
MRK,2021-06-03,0.0,-0.048,1.186,1.209,0.019,128,129
ROP,2019-03-07,-0.005,-0.031,1.061,1.082,0.019,128,129
MUV2,2014-05-02,-0.0,-0.044,1.011,1.03,0.019,86,129
UBSG,2019-05-06,-0.001,-0.053,1.234,1.258,0.019,128,130
BNP,2025-09-26,0.003,-0.034,1.165,1.144,-0.018,129,129
TSM,2017-06-26,-0.0,-0.032,0.876,0.891,0.017,128,130
CRM,2026-04-17,-0.121,-0.0,1.392,1.415,0.017,129,100
ENEL,2023-07-24,-0.005,-0.032,1.209,1.229,0.017,128,130
CME,2015-12-23,0.0,-0.031,1.048,1.066,0.016,128,129
UBSG,2020-05-05,-0.008,-0.037,1.151,1.133,-0.016,128,129
MUV2,2026-04-30,-0.024,-0.046,1.109,1.128,0.016,128,91
ALV,2023-05-05,0.001,-0.053,1.14,1.158,0.016,129,129
DTE,2018-05-18,-0.002,-0.047,1.194,1.177,-0.015,129,129
MSI,2015-02-13,-0.105,-0.0,0.986,1.001,0.015,129,129
ROP,2018-03-15,-0.007,-0.037,1.136,1.153,0.015,128,129
NESN,2016-04-11,-0.001,-0.032,1.049,1.035,-0.014,128,130
PUB,2022-07-04,0.001,-0.053,1.251,1.234,-0.014,128,130
ZURN,2016-04-01,0.004,-0.079,1.018,1.032,0.014,129,129
PWR,2015-11-06,-0.245,0.0,1.253,1.237,-0.013,129,129
8035,2016-01-20,-0.083,-0.0,1.072,1.059,-0.012,128,129
SAN,2016-05-10,-0.001,-0.042,1.18,1.193,0.012,128,129
PGR,2019-02-01,-0.0,-0.038,1.057,1.07,0.012,129,129
NOVN,2021-03-04,-0.01,-0.038,1.194,1.18,-0.012,128,129
HSBA,2023-03-02,-0.007,-0.03,1.25,1.235,-0.012,128,129
DTE,2026-04-02,-0.004,-0.032,1.332,1.348,0.012,128,111
NESN,2026-04-20,0.004,-0.04,1.106,1.093,-0.011,128,99
ENEL,2016-06-20,0.003,-0.041,1.163,1.176,0.011,128,130
ABBN,2020-03-30,-0.007,-0.046,1.011,1.0,-0.011,128,130
TSM,2016-06-27,0.0,-0.037,1.035,1.024,-0.01,128,130
TSM,2019-06-24,0.0,-0.032,1.084,1.095,0.01,128,130
MPC,2022-02-24,-0.085,0.0,1.129,1.139,0.009,128,129
CS,2017-05-05,0.002,-0.046,1.066,1.076,0.009,129,129
GRMN,2015-08-11,-0.086,-0.0,1.106,1.116,0.009,128,129
GLW,2016-10-27,-0.086,0.0,0.976,0.984,0.009,128,129
CS,2026-05-11,-0.0,-0.058,1.144,1.133,-0.009,128,84
ALV,2025-05-09,0.002,-0.042,1.046,1.037,-0.009,129,129
MUV2,2025-05-02,0.001,-0.034,1.024,1.032,0.008,129,129
GM,2025-01-28,-0.1,0.0,1.143,1.153,0.008,128,129
EQIX,2015-10-06,0.0,-0.039,1.067,1.075,0.007,128,129
APO,2015-02-12,-0.0,-0.036,1.277,1.268,-0.007,128,129
ABBN,2016-07-11,0.001,-0.039,1.008,1.0,-0.007,128,130
UBSG,2016-05-12,0.001,-0.056,1.055,1.062,0.007,128,129
NOVN,2019-04-09,-0.123,-0.0,1.053,1.06,0.007,128,129
GRMN,2015-02-19,-0.081,-0.0,1.101,1.109,0.007,128,129
RIO,2018-03-01,-0.001,-0.034,1.058,1.065,0.006,128,129
V,2015-07-23,-0.105,0.0,1.098,1.105,0.006,128,129
SHEL,2016-06-24,-0.09,-0.0,1.127,1.121,-0.005,129,129
SAN,2019-05-09,0.002,-0.041,1.119,1.113,-0.005,128,129
SAN,2017-05-16,-0.018,-0.032,1.056,1.061,0.004,128,129
ALV,2014-05-08,-0.005,-0.043,1.122,1.126,0.004,90,129
MUV2,2023-05-08,-0.001,-0.035,1.048,1.052,0.004,128,130
NXPI,2018-11-01,-0.15,0.0,1.158,1.163,0.004,128,129
