date,hist_rows,hist_has_nan,v_base,v_rmt,realized,n_replaced,replaced_share,lambda_plus,sigma_bar_sq,q,floor_ref,floor_share,exq_base,exq_rmt
2018-11-27,126,True,2.3815287054111406e-07,1.3834466294246643e-07,1.8669041485494498e-07,194,0.97,0.0017089113316088637,0.00033461712713197845,1.5873015873015872,2.2777368097130602e-08,6.985857749326458e-07,0.027371063328373024,0.04975516186766482
2018-12-26,126,True,6.181469515076502e-07,2.999782089561606e-07,2.6582368174449907e-07,194,0.97,0.001887913832183836,0.00036966710391190123,1.5873015873015872,2.56558821698887e-08,7.714486479774191e-07,0.2739261280455294,0.007019902564432856
2019-01-24,126,True,2.081758707496052e-06,1.3216582751953105e-06,1.4457389179318563e-06,194,0.97,0.002080471818299229,0.00040737134223513315,1.5873015873015872,3.0208179269791e-08,9.925317365071203e-07,0.059072098592444444,0.004149209668144138
2019-02-22,126,True,2.8076626268107727e-06,2.276532607239273e-06,2.0075280439159903e-06,194,0.97,0.0021273389362006334,0.0004165482609312947,1.5873015873015872,3.003348563302801e-08,2.3364851543135374e-06,0.05046574237450163,0.007585202751745568
2019-03-25,126,True,2.579990977992804e-06,1.995844041223446e-06,1.1148100131340494e-06,194,0.97,0.002169357762081841,0.00042477584918690733,1.5873015873015872,3.044094543164489e-08,1.9360486407128418e-06,0.27120031876101836,0.14094873515853923
2019-04-23,126,True,2.719356971845714e-06,1.967770292597148e-06,8.733450881146181e-07,194,0.97,0.001891022630694273,0.00037027582901492646,1.5873015873015872,2.7363545854914728e-08,1.213591782327456e-06,0.45697863353636436,0.2561502962877038
2019-05-22,126,True,2.2410485045801536e-06,1.396832747386207e-06,2.2421618063018974e-06,193,0.965,0.0017736555351494025,0.0003472945077464466,1.5873015873015872,2.4804402921922274e-08,2.271947167507182e-06,1.23352924763509e-07,0.13194243129388417
2019-06-20,126,True,2.5688576908457464e-06,1.6877890154318327e-06,1.2018707430291144e-06,194,0.97,0.0017130609554652373,0.0003354296533220827,1.5873015873015872,2.150106183448518e-08,1.635687511305397e-06,0.22744396649429577,0.05163784182005626
2019-07-19,126,True,2.4253275185917905e-06,1.80842540387607e-06,4.512706444212441e-06,194,0.97,0.0013998264098356555,0.0002740960768875558,1.5873015873015872,1.7600639483241403e-08,1.3179189872905057e-06,0.23972807727945256,0.5809382686139442
2019-08-19,126,True,2.579301169156188e-06,1.796361355575146e-06,7.554557294004579e-07,194,0.97,0.0015242045201016687,0.00029845020525308977,1.5873015873015872,2.0221708207612037e-08,1.7132951877236986e-06,0.5208442265224016,0.2867449983267214
2019-09-17,126,True,2.262622487080464e-06,1.5316679719938905e-06,1.7177577716570753e-06,195,0.975,0.0015250415302265692,0.00029861409785429975,1.5873015873015872,2.0964651291536714e-08,2.5732043028333075e-06,0.034693567226042,0.006832369158783491
2019-10-16,126,True,2.0894585031846845e-06,1.527273426213519e-06,4.006675519269853e-06,193,0.965,0.001629995286407842,0.0003191647980138126,1.5873015873015872,2.238917198158724e-08,2.9485916577978963e-06,0.2665095406741982,0.658939515525528
2019-11-14,126,True,3.416351994332915e-06,2.5240668080029087e-06,8.853143241760755e-07,193,0.965,0.0016681192250661224,0.0003266297393439046,1.5873015873015872,2.196147510401025e-08,1.312955361313325e-06,0.6095260961052877,0.39843310644784924
2019-12-13,126,True,3.946185787149694e-06,2.629508844575619e-06,1.654518656376112e-06,194,0.97,0.001545615182466287,0.0003026425669034139,1.5873015873015872,1.9979315347028936e-08,1.387955537103031e-06,0.2885097043570808,0.09249900538112876
2020-01-13,126,True,4.930182164920208e-06,3.6758581710480414e-06,7.3216382430300115e-06,194,0.97,0.0014807290506230458,0.0002899373957067016,1.5873015873015872,1.933044936861755e-08,1.2768510365978876e-06,0.08960627654844755,0.3027699087262896
