date,scale,l1,active_share,te_exante
2019-03-25,0.7735856668677904,0.003159147276234218,0.17290240432219633,0.039822760799180165
2019-07-19,0.7456417288029163,0.009212751655067755,0.22499999943307128,0.03764246023061115
2019-11-14,0.7388193055603932,0.004430189379444291,0.22211208869229387,0.03794308809797059
2020-03-11,0.6596226797727556,0.015244362241467127,0.22499999111116498,0.041376399036184695
2020-07-07,0.8132466691383097,0.029259420720701604,0.22499999970787532,0.0438979309332044
2020-12-01,0.5044037080430702,4.9637936406325586e-11,0.22499999138055543,0.03905463640401235
2021-03-29,0.8643650923339237,0.01323704973513341,0.22499999968161022,0.037870727701716844
2021-07-23,0.806390855946266,0.012619093618222482,0.22499999999865072,0.03998650308451422
2021-11-18,0.864612357322611,0.008012707037880252,0.2250000001112783,0.037400088619180726
2022-03-16,0.8895653530026054,0.026687307547423537,0.22499999998574308,0.038340804351819406
2022-07-12,0.9581114001791698,0.04124238850045271,0.22499999989440791,0.03859853696156886
2022-12-06,0.6726829641053652,0.013197292627594032,0.21098618778469785,0.04078014381569159
2023-04-03,0.6632811675318492,0.004579224592276953,0.2250000000094115,0.04171088428948537
2023-07-28,0.9829914128775793,0.013423741092818586,0.22500000049620733,0.036311901172856986
2023-11-23,0.8483635998328553,0.0019123824196142236,0.2250000000084288,0.03824556109906064
2024-03-20,0.6898377909418747,0.004408870892065023,0.22499999994602113,0.04339679388020667
2024-07-16,0.9672934111860716,0.0064618797814095085,0.22499999998139217,0.03548201767815364
2024-12-10,0.7717120310496155,0.03305806660863955,0.22499999673645815,0.03894955229972663
2025-04-07,0.5052701144166969,1.4067531864821818e-11,0.0952629655151861,0.03701890014334536
2025-08-01,0.7350643788701323,0.004207246257613802,0.19898111184134284,0.041267967133523514
2025-11-27,0.8614935164074603,0.03703511023924317,0.2249999999516246,0.04167654120871131
2026-03-25,0.7680994195433452,0.024717208788544075,0.22499999996955708,0.03936514395225839
2026-08-19,0.885852383705018,0.03178412324004917,0.20633025782782535,0.03872142155694435
