date,n,ic,spread,bm_fwd
2018-11-27,66,-0.022607243502765894,-0.01895743409903393,-0.06545338058707428
2018-12-26,66,0.07575409664961905,0.028381276787600218,0.06687806279540798
2019-01-24,66,-0.057384406638137986,0.005399757082024684,0.05799850314192123
2019-02-22,66,0.3754305396096442,0.03330976040394238,0.017992059655945525
2019-03-25,66,-0.06523327418849809,-0.011560038200120054,0.05401146187956929
2019-04-23,66,0.112743972445465,0.028332243400272468,-0.024669254299673482
2019-05-22,66,-0.21795219705667468,-0.01210358932333283,0.040379014885963516
2019-06-20,66,0.04527711094875274,-0.010075716893736913,0.012031622854210333
2019-07-19,66,0.08218348815363742,0.011495777832478082,-0.01809868371725587
2019-08-19,66,-0.16751904811606305,-0.014356374979297988,0.027682731825744433
2019-09-17,66,0.06961695021396516,0.00762531401330644,0.005890087490148632
2019-10-16,66,0.10623108235048535,-0.017744485664112727,0.038340910573908094
2019-11-14,66,0.004822043628013778,0.004447581729473765,0.027148503242542033
2019-12-13,66,-0.09953135927229621,-0.01020516850364226,0.04445425514866197
2020-01-13,66,0.17144348189124312,0.017338307881629912,0.02715867083862955
2020-02-11,66,0.22930800542740842,0.04477688169795191,-0.16700941462512664
2020-03-11,66,-0.003945308422920364,0.0020629095648558114,0.02242872003400498
2020-04-09,66,-0.043565389834046564,0.0185459687446394,0.06085742161494001
2020-05-08,66,-0.35134119611731557,-0.08289974401981731,0.0928603570146056
2020-06-08,66,0.2717670389312181,0.08389026196716018,0.010290767390643163
2020-07-07,66,0.17862436071391297,0.04004368523052859,0.0568977580363379
2020-08-05,66,0.05776015029746374,0.019243213809637602,0.04638723370411513
2020-09-03,66,0.10731656403298195,0.020047801759377815,-0.032557987135214406
2020-10-02,66,-0.0575096545245799,-0.04356503120991994,-0.020640616502901166
2020-11-02,66,-0.23348293497547234,-0.0754130450539312,0.1254331320595321
2020-12-01,66,-0.006951257697526355,-0.009016481570753673,0.03536565429132743
2020-12-30,66,-0.04068468844588248,-0.004124761193328625,0.018124104292968513
2021-01-28,66,-0.22150088717252897,-0.053530445715018804,-0.0031528549943349304
2021-02-26,66,0.0495355390877779,0.004234624645892408,0.026876308575413566
2021-03-29,66,0.081306752948544,0.013305851713396252,0.06155780958617041
2021-04-27,66,0.005740528128587831,-0.015326134715084191,0.0010546436358109812
2021-05-26,66,-0.09925895000521869,-0.003588174659216993,0.025348138553087374
2021-06-24,66,0.4069095084020458,0.05482491383064109,0.03351102152255048
2021-07-23,66,-0.05329297568103538,-0.015629557828554387,0.014573521695287361
2021-08-23,66,-0.20960233796054695,-0.021012617123226912,-0.017461057396905844
2021-09-21,66,-0.07178791357895836,-0.01771892898794677,0.03327277403492013
2021-10-20,66,0.26688237135998333,0.05511424356222127,0.0488004374565183
2021-11-18,66,0.15574574679052294,0.007822576742389613,-0.021969663725876165
2021-12-17,66,0.047615071495668515,0.00808859179591564,0.01013231387351654
2022-01-17,66,0.12614549629475005,0.01216935209631792,-0.040539470619243234
2022-02-15,66,0.07070243189646176,0.016358702494803243,-0.03782983081174163
2022-03-16,66,-0.07258190775792238,-0.01822061059097528,0.006192867353217668
2022-04-14,66,0.20166997181922558,0.017168731887347147,-0.08910252262463891
2022-05-13,66,-0.017347013329546593,0.013928379194153781,-0.06672424040165503
2022-06-13,66,-0.12514351320321473,-0.038773263672913214,0.019052829682035366
2022-07-12,66,-0.09579375848032566,-0.005373387508473992,0.1055429714272671
2022-08-10,66,0.18409351842187668,0.01590869872847337,-0.060193932866445476
2022-09-08,66,-0.033169815259367505,-0.006613798790100239,-0.08523698822964598
