date,sum,min,max,n_pos,n_neg,n_nan,top5_sum,n_ge_0_15,l1_vs_prev
2018-11-26,1.0,1.604842055987013e-16,0.039125559455907004,224,0,0,0.1755402641873856,0,
2018-12-25,0.9999999999999993,1.1290893707009845e-17,0.038183386263324924,224,0,0,0.17059435659570577,0,0.06735265519386252
2019-01-23,1.0000000000000007,1.2902627239726748e-17,0.03924639461619487,225,0,0,0.17185685013342117,0,0.11095011363473302
2019-02-21,1.0,2.5200934383105586e-17,0.03787651913960287,225,0,0,0.16823810194406683,0,0.1101386817187968
2019-03-22,0.9999999999999996,2.0036991776285408e-16,0.03960405335769085,225,0,0,0.17641066969744088,0,0.10543999398380532
2019-04-22,1.0000000000000007,2.279111621562764e-18,0.04016833893382203,225,0,0,0.17960971692508565,0,0.10899095012781815
2019-05-21,1.0000000000000002,-7.062686030359634e-17,0.04164545763195543,226,0,0,0.17934647319994265,0,0.09034577260014114
2019-06-19,1.0,3.865938625669958e-17,0.04327895254964956,227,0,0,0.1797130099942309,0,0.04511714218341874
2019-07-18,0.9999999999999996,2.79003088973524e-16,0.04219581134553721,227,0,0,0.17879295585572907,0,0.04453006639705389
2019-08-16,1.0000000000000009,9.20256521814202e-17,0.04388175222708453,228,0,0,0.18301183445953847,0,0.09736800489405639
2019-09-16,0.9999999999999986,4.879235156462411e-16,0.04215519590231702,228,0,0,0.18550415174144116,0,0.06718366483556414
2019-10-15,0.9999999999999996,1.9904349553992716e-16,0.043881864455739564,229,0,0,0.18508081875040522,0,0.05667608026984067
2019-11-13,1.0000000000000004,1.8698503359894304e-17,0.047084057643301425,230,0,0,0.19342188989727505,0,0.09500953885778314
2019-12-12,1.0000000000000007,-1.6894603536426244e-17,0.047141114596472675,230,0,0,0.19457344962617673,0,0.08729603804079973
2020-01-10,0.9999999999999988,2.11092367076465e-16,0.0506299666731924,230,0,0,0.19456049400239692,0,0.10220319557532008
2020-02-10,1.0000000000000002,2.0444193953303207e-17,0.05002095291058005,230,0,0,0.20417714906779233,0,0.10922191544277332
2020-03-10,1.000000000000001,-2.771062855825926e-16,0.051903927073375135,231,0,0,0.20360860314004936,0,0.14872603865477996
2020-04-08,0.9999999999999984,2.692084855104943e-16,0.051143357075732664,232,0,0,0.20575882028026554,0,0.19708674567435314
2020-05-07,0.9999999999999996,3.6388313676441894e-16,0.053632216907480594,232,0,0,0.2122641336106791,0,0.11464106734817135
2020-06-05,1.0000000000000084,-2.1273933401363793e-15,0.05257847269429738,232,0,0,0.2098727779919211,0,0.11616960316892262
2020-07-06,1.0000000000000007,-7.510769555921178e-17,0.05770812829052908,232,0,0,0.22518416047125908,0,0.15201445689364806
2020-08-04,0.9999999999999999,1.5584701074354196e-16,0.06527235296211553,232,0,0,0.2309445463390985,0,0.09492869087421502
2020-09-02,0.999999999999999,1.3969065240128958e-16,0.07406356146814308,232,0,0,0.24614065837066423,0,0.09324694674849447
2020-10-01,0.9999999999999979,4.353461872462868e-16,0.06946895121064242,234,0,0,0.24016279345424402,0,0.09923265926583338
2020-10-30,1.0000000000000013,2.0263531904243108e-17,0.06711986106449479,234,0,0,0.2396452049523587,0,0.08550288091110879
2020-11-30,0.9999999999999996,-2.070982196657972e-17,0.06549876050549067,234,0,0,0.2408320366445057,0,0.12721117756955969
2020-12-29,0.9999999999999996,8.836229882721918e-17,0.07006822845433641,236,0,0,0.24173430522034434,0,0.12791234591896017
2021-01-27,1.0000000000000002,-3.1313648319041676e-17,0.07286380867110741,236,0,0,0.2558085171673792,0,0.1179589647846905
