date,p1_contrib_6_50,ow_contrib_1-5,uw_contrib_1-5,ow_contrib_6-20,uw_contrib_6-20,ow_contrib_21-50,uw_contrib_21-50,ow_contrib_51-100,uw_contrib_51-100,ow_contrib_101+,uw_contrib_101+
2018-11-27,0.00014961657034540858,-0.0014972275675146384,0.0006866614419599703,6.82514803868447e-05,4.3238237007187044e-05,8.136508995856388e-05,0.00015232134269763155,0.0001301573930240412,0.0001474627843669398,0.0009710691111731876,-0.0012760682990037298
2018-12-26,-0.0007806298253522695,0.005967056617365676,-0.00015552354668860996,-0.00026167089359485174,-9.5036165605934e-05,-0.0005189589317574178,-0.00029769307797677296,-0.0006653835209701558,-0.0007110057416598919,-0.0008981225864261085,0.004882179216548351
2019-01-24,0.0006927363692160042,0.009829372817931637,-0.0003246157365841142,0.0014734293681256927,-0.002031984043124292,-0.0007806929989096885,-0.00035735117820136637,-0.0009198829805579129,-0.0011703763599184385,-0.003436481092232532,0.01005007243218541
2019-02-22,-0.0021545161141791383,-0.0005534143164476419,-0.001235595577828401,-0.002081622755307832,-0.0006029336912184292,-7.289335887130654e-05,0.0002493881408798388,1.1810167431480674e-05,-3.098448337474994e-05,-0.0016650365795294094,-0.0027410312311829674
2019-03-25,0.004240079452558072,0.011027895633384511,0.0001338978084555914,0.0034304151640391937,0.0003672545337537042,0.0008096642885188779,-0.0018716978687842564,-0.00039775229009688073,-0.0004129275524983084,-0.0017807802131286068,0.014872915661790359
2019-04-23,-0.00618358493749646,0.0036951798026147393,-0.000199911867763274,-0.0006569443697020563,-4.5986207699305606e-05,-0.005526640567794404,-0.0005359712783277895,0.0009103287422086431,-1.590326529109146e-05,-0.00123131227231073,-0.002011616045902346
2019-05-22,0.0063678782622762055,0.0032673648494475154,-0.00021769732003094292,0.0030003915506416163,-0.0022894205860870672,0.003367486711634589,-0.001536952406248984,-0.001129571612290627,-0.001636445661764081,-0.0051628339550881,0.009023353518476069
2019-06-20,-0.0007762741133750584,0.0002774587531400975,2.9189229617125357e-05,0.0010904595239788037,0.0008585940545360443,-0.0018667336373538622,-0.00033912528574126584,-0.0006587138629960725,-0.0005550675817324395,0.00038165578052663,-0.0007694638593838678
2019-07-19,-0.003096888859893246,-0.005836043433993036,-0.0002310109519911153,-0.0029012456836790077,-0.0005871013247596242,-0.000195643176214238,0.0005649275720980623,0.0008218798162763402,0.000885666721111817,0.00011761874825624714,-0.008625915745812835
2019-08-19,0.0035399188320845666,0.0016880550699700147,0.00010773522954669607,0.0029807737656918883,-0.00024757927754531024,0.0005591450663926783,-8.359885248314378e-05,-0.0010721023239572728,-0.0009608820810021558,-0.0006769488647590785,0.004663247694822143
2019-09-17,-0.003190146721832886,-0.0011675554303212784,5.911463874600725e-05,0.0030331195823595403,0.0003133093101087911,-0.006223266304192426,0.00035271356747363156,-0.00018218157702764353,-0.0005990295489307179,0.0003150999732249007,-0.004350891723354619
