date,n_valid,gross_ow,gross_uw,outside_top5,outside_top20,ow_share_1-5,uw_share_1-5,ow_share_6-20,uw_share_6-20,ow_share_21-50,uw_share_21-50,ow_share_51-100,uw_share_51-100,ow_share_101+,uw_share_101+,ow_share_unranked,uw_share_unranked
2018-11-27,178,0.01902200208222331,0.01902200208222271,0.024748582586720413,0.02225900110345199,0.9752514174132796,0.44188538801398475,0.002489581483268423,0.05153502674766927,0.007860720129480997,0.09549003434421978,0.01439828097380145,0.16870307612363433,0.0,0.24238647477040284,1.6948081370512434e-13,8.886479856741805e-14
2018-12-26,178,0.03659539104609578,0.036595391046096604,0.020675396932344436,0.020675396932344436,0.9793246030676556,0.11372879036145096,0.0,0.06740522053827289,4.884553679014016e-11,0.12083382009019328,0.0206753968834989,0.3677964007725603,0.0,0.3302357682375059,0.0,1.6856371912254336e-14
2019-01-24,178,0.07516032407529953,0.07516032407530032,0.286817174365651,3.133643344810366e-10,0.713182825634349,0.0889463290992105,0.2868171740522867,0.4191261028803343,3.132982947919374e-10,0.08433323331456323,0.0,0.19600810510261865,0.0,0.2115862296032351,6.596804790541414e-14,3.819755014375691e-14
2019-02-22,178,0.10099584823230875,0.1009958482323095,0.2773566890776431,7.922107414515267e-11,0.7226433109223569,0.2055940958448917,0.27735668899842203,0.3048956053966836,3.302238559440967e-11,0.16518968374871185,4.619803177225333e-11,0.15509195308782084,0.0,0.16922866192188513,5.90431394264251e-16,6.7645982732772554e-15
2019-03-25,179,0.10594878668030444,0.10594878668030414,0.4500652717708409,0.20989684942934714,0.5499347282291591,0.17305782611614803,0.24016842234149374,0.22456498101892666,0.20989684942934506,0.23343207705875357,0.0,0.20112602780172575,0.0,0.16781908800444328,2.229198964229663e-15,2.587673315513866e-15
2019-04-23,179,0.12727737648805384,0.12727737648805332,0.41812847719478174,0.31633641244492894,0.5818715228052183,0.060855595126626055,0.1017920647498528,0.11050486012334053,0.3163364124070346,0.27298935840878685,3.789440343287039e-11,0.25712184012629347,0.0,0.29852834621492275,0.0,3.061833162502638e-14
2019-05-22,179,0.14185754443173407,0.14185754443173262,0.8332912016303369,0.5643344811937603,0.16670879836966307,0.029288055342310694,0.26895672043657654,0.27168149249819157,0.5643344811937553,0.18151042099821024,0.0,0.1996695519220015,0.0,0.3178504792392183,5.014957574717224e-15,6.76850869503362e-14
2019-06-20,179,0.16087607128414688,0.16087607128414733,0.7429019303683888,0.6368290766027911,0.25709806963161125,0.0901986538080936,0.10607285376559776,0.169042610969859,0.6368290766027819,0.2416518607108208,0.0,0.18460773501621194,0.0,0.3144991394950027,8.946663006149717e-15,1.2066196858158276e-14
2019-07-19,180,0.17097049899163977,0.1709704989916395,0.6682561395791614,0.2915238424702978,0.3317438604208386,0.04184770940616779,0.37673229710886363,0.17336298567290445,0.29152384247025637,0.2639178082166571,0.0,0.2337475791547958,0.0,0.287123917549443,4.1451156437232294e-14,3.195202869641867e-14
2019-08-19,181,0.17800271486399177,0.17800271486399177,0.7353074711638001,0.33089527793534523,0.2646925288361999,0.09423445458767674,0.4044121932284549,0.15441066998714925,0.3308952779353411,0.22160103074453127,0.0,0.24055912167546686,0.0,0.2891947230051723,4.1007954386361186e-15,3.4809668046293896e-15
2019-09-17,181,0.17555790365364754,0.1755579036536476,0.7288135049809714,0.4920903332832287,0.2711864950190286,0.09289033050554919,0.2367231716977427,0.14930951549608312,0.492090333283205,0.18200713246497255,0.0,0.20846937396828855,0.0,0.36732364756509756,2.353468560536894e-14,9.172845273715256e-15
2019-10-16,181,0.17659552053501576,0.17659552053501557,0.699761195567751,0.5238997706683288,0.3002388044322491,0.09222121113272591,0.1758614248994221,0.14915317155365607,0.23665407863080998,0.2489358150346,0.2872456920375102,0.18994700839423892,0.0,0.319742793884776,8.630722487550987e-15,3.160597033857762e-15
2019-11-14,181,0.1859594207587668,0.18595942075876662,0.6787078960574191,0.5411657406615515,0.3212921039425809,0.032804153771307305,0.13754215539586753,0.18812608263069608,0.5411657406615386,0.21660256851427145,0.0,0.2452878520759649,0.0,0.31717934300775275,1.298281846807349e-14,7.540347587415248e-15
2019-12-13,181,0.20301759763317512,0.20301759763317617,0.6187266188248364,0.18511402219305662,0.3812733811751637,0.048505426883252205,0.43361259663177976,0.16704500617605905,0.18486681543412356,0.22837029202173015,0.00024720675893178035,0.33598510764366235,0.0,0.22009416727529604,1.1715164398585614e-15,8.70490815453614e-17
2020-01-13,182,0.21697612014067297,0.2169761201406724,0.6091871128297977,0.24906481492458082,0.3908128871702023,0.026350380761520117,0.3601222979052168,0.24188175899911465,0.24906481492457963,0.2181526560609986,0.0,0.2478103446262009,0.0,0.2658048595521655,1.1871089263786087e-15,3.7526518172078993e-16
2020-02-11,182,0.21035177941021127,0.21035177941021158,0.41790023008400634,0.18545034958823728,0.5820997699159937,0.07017547855900337,0.23244988049576906,0.14837874990200015,0.18505587268550588,0.24849635505323814,0.0003944769027016426,0.23579674404397016,0.0,0.2971526724417881,2.973332253765798e-14,0.0
2020-03-11,182,0.19266798543466862,0.19266798543467004,0.527430380935134,0.23810418856571947,0.4725696190648661,0.04404000377375121,0.2893261923694145,0.23632212477838868,0.23624525304544203,0.188317674077487,0.0018589355202254377,0.2646264298183032,0.0,0.26669376755205304,5.185701089195798e-14,1.673786609937004e-14
2020-04-09,182,0.19243911066455438,0.19243911066455407,0.8634258197669871,0.44407475926302115,0.1365741802330129,0.17460638650865587,0.4193510605039659,0.1433053502358698,0.3803335770755946,0.21342567017691788,0.06374118218741004,0.2077615950475196,0.0,0.260900998031032,1.663338210456598e-14,4.9584844198734415e-15
2020-05-08,183,0.21157686091778072,0.21157686091778105,0.8014969275404342,0.403469506789867,0.1985030724595658,0.16708520548857228,0.39802742075056724,0.21568811969258014,0.3346544501347547,0.1882576460991934,0.06881505665510673,0.179731030634027,0.0,0.24923799808562244,5.678346960073831e-15,4.6631941351337656e-15
2020-06-08,184,0.21824395721228373,0.21824395721228465,0.8655462912137859,0.20437144190847423,0.13445370878621415,0.13892152370507843,0.6611748493053117,0.18472170039140895,0.19528844929255942,0.2590814253365015,0.009082992615896936,0.19303785390191683,0.0,0.22423749666509432,1.783470804164984e-14,0.0
2020-07-07,184,0.21701011976955548,0.21701011976955542,0.7774482849287189,0.5840701693729771,0.2225517150712811,0.15056506320401414,0.1933781155557418,0.18841088894832064,0.27002073839068735,0.2731528861296634,0.31404943098228666,0.1968126492962416,0.0,0.19105851242175884,3.134631967367514e-15,1.426383804466418e-15
2020-08-05,184,0.2188611398721973,0.21886113987219735,0.7410553433333611,0.29009318754419106,0.25894465666663896,0.1269611003807161,0.45096215578917004,0.23209992759748713,0.2191635402656142,0.26099796575822953,0.07092964727856832,0.1669879980722719,0.0,0.2129530081912953,8.692349845311825e-15,0.0
2020-09-03,184,0.2059911823708529,0.20599118237085193,0.7683101716621044,0.5714824673507417,0.23168982833789567,0.09651015863281083,0.1968277043113627,0.28375648728067027,0.33996498018506,0.24185813669281217,0.23151748716566095,0.1636339273894905,0.0,0.21424129000420933,2.066739465793216e-14,6.93603292362853e-15
2020-10-02,185,0.18042502899720345,0.18042502899720386,0.7552378041786293,0.44608457745079294,0.2447621958213707,0.13567866485806646,0.30915322672783635,0.1874019704511185,0.36537243957480764,0.22635219414479954,0.08071213787598008,0.2787506771390603,0.0,0.17181649340695526,5.2191436042756695e-15,0.0
2020-11-02,185,0.1891335532193245,0.1891335532193245,0.8713870604640654,0.5372081431765571,0.1286129395359346,0.12949133100793397,0.33417891728750837,0.13392431354939982,0.41960325534194826,0.3102855589350257,0.11760488783460486,0.2116792667705309,0.0,0.21461952973710866,3.8309189988817815e-15,1.038150080168129e-15
2020-12-01,185,0.19343949357976215,0.1934394935797622,0.8753145380398188,0.4943911115314001,0.12468546196018114,0.09025013825273,0.38092342650841876,0.17813536942818825,0.3414726934296954,0.16855135600097282,0.15291841810169873,0.3257175079919613,0.0,0.23734562832614628,6.025381824237133e-15,1.2263443775095102e-15
2020-12-30,185,0.21081124072540552,0.2108112407254058,0.8489588791063839,0.4271799987939377,0.1510411208936161,0.10316780458264269,0.4217788803124462,0.171831288462881,0.36667863606395645,0.1840849877235016,0.060501362729979545,0.301969497900775,0.0,0.23894642133019964,1.8509040126377693e-15,4.628699835356351e-17
2021-01-28,185,0.21335896237971558,0.21335896237971597,0.7776585498014656,0.4043377448909519,0.22234145019853435,0.07921311359228823,0.3733208049105137,0.11642917407473263,0.31621821855414434,0.24102218447904078,0.08811952633677969,0.2842761567498519,0.0,0.279059371104085,2.7808856782752447e-14,1.423860733770235e-15
2021-02-26,186,0.21277695663436585,0.21277695663436674,0.7391794348665872,0.34679256671754854,0.2608205651334128,0.08198326414735782,0.39238686814903867,0.09098907480512124,0.20013999348287903,0.21130100874933316,0.14665257323466604,0.31767372100718533,0.0,0.29805293129100263,3.371240163433159e-15,0.0
2021-03-29,186,0.20497671581232013,0.20497671581232005,0.6873738003665293,0.20519148037173612,0.31262619963347066,0.13053677767069943,0.48218231999479316,0.17306167957907545,0.05447655484505367,0.1928940475343868,0.1507149255266645,0.20476066050913275,0.0,0.29874683470670016,1.7879630763999454e-14,5.405758482806106e-15
2021-04-27,186,0.21373544235639613,0.2137354423563959,0.7388112881948756,0.3610931241228463,0.2611887118051244,0.037740690673206824,0.37771816407202935,0.19511999798949198,0.32874904653556314,0.2457658079843619,0.03234407758728264,0.22677068454249466,0.0,0.2946028188104447,6.854943894012838e-16,0.0
2021-05-26,186,0.19680912032028744,0.19680912032028836,0.6956507296918502,0.31915573536418945,0.3043492703081498,0.07054502688296216,0.3764949943276607,0.2032331860232967,0.29685511327511355,0.22299945758137507,0.022300622089063762,0.2373847328531569,0.0,0.2658375966592093,1.2190172640960942e-14,0.0
2021-06-24,186,0.21003700844094825,0.21003700844094786,0.6663193897922237,0.19994195377068358,0.3336806102077763,0.049945226457869446,0.46637743602154014,0.2240998104675073,0.14842369176103185,0.1715028147322336,0.051518262009649395,0.2765802566392372,0.0,0.27787189170315163,2.3700017815503546e-15,9.167637039905872e-16
2021-07-23,186,0.2105624132723336,0.21056241327233421,0.7245300920374369,0.42170620562942635,0.27546990796256304,0.09214157952866373,0.30282388640801056,0.2063170654886156,0.3598083414081707,0.20021520776830828,0.06189786422123626,0.24929300041922164,0.0,0.2520331467951876,1.9522605502917128e-14,3.2439187889741636e-15
2021-08-23,186,0.2208056530128392,0.22080565301283886,0.6327414204827111,0.31833173384736674,0.3672585795172889,0.058294678013619004,0.31440968663534435,0.21008823493151915,0.2565662271770498,0.19590852968016334,0.06176550667031344,0.25020200021043865,0.0,0.2855065571642599,3.5207224668378117e-15,0.0
2021-09-21,187,0.22015134736961456,0.22015134736961628,0.9234389727352785,0.3902541315532635,0.07656102726472143,0.08075508425627813,0.533184841182015,0.046454983309633296,0.3203565305881131,0.2525273441250592,0.06989760096512802,0.3130444147537995,0.0,0.3072181735552298,2.2463994202093293e-14,0.0
