date,portfolio_ret,benchmark_ret,sp500_ret,portfolio_cum,benchmark_cum,sp500_cum,drawdown,portfolio_local_gross_ret,portfolio_fx_effect,portfolio_usd_gross_ret,benchmark_local_ret,benchmark_fx_effect,benchmark_usd_gross_ret,active_local_gross_ret,active_fx_effect,active_usd_gross_ret
2018-11-26,0.015793123002855382,0.015830320369342277,0.01553240951773183,1.0157931230028554,1.0158303203693422,1.0155324095177318,0.0,0.0160530399,-0.0002227195,0.0158303204,0.0160530399,-0.0002227195,0.0158303204,0.0,0.0,0.0
2018-11-27,0.003048205176388384,0.0029263849511589565,0.003261703042884756,1.0188894688585326,1.018803030931802,1.0188447746680038,0.0,0.0036896988,-0.0006414937,0.0030482052,0.0035665872,-0.0006402022,0.002926385,0.0001231116,-1.2914e-06,0.0001218202
2018-11-28,0.02265560292806703,0.02270468929397064,0.02297393528374414,1.0419730240925806,1.041934637200864,1.0422516485854074,0.0,0.0215693928,0.0010862101,0.0226556029,0.021599196,0.0011054933,0.0227046893,-2.98031e-05,-1.92832e-05,-4.90864e-05
2018-11-29,-0.0007865154259378273,-0.0007657950157883514,-0.002197690056454649,1.0411534962357207,1.0411367288489184,1.0399611025009878,-0.0007865154259377727,-0.0009601357,0.0001736202,-0.0007865154,-0.0009284985,0.0001627034,-0.000765795,-3.16372e-05,1.09168e-05,-2.07204e-05
2018-11-30,0.00671688548863719,0.0067560262139517695,0.00818552393197347,1.0481468050460303,1.0481706758813296,1.0484737289938313,0.0,0.0075280843,-0.0008111988,0.0067168855,0.0075821057,-0.0008260795,0.0067560262,-5.40213e-05,1.48806e-05,-3.91407e-05
2018-12-03,0.012984467652348772,0.01303722397621038,0.01094135506146343,1.0617564333310632,1.0618359117480904,1.0599454523353693,0.0,0.0126743297,0.0003101379,0.0129844677,0.0127110269,0.0003261971,0.013037224,-3.66972e-05,-1.60592e-05,-5.27563e-05
2018-12-04,-0.027904232668475443,-0.027869985513892886,-0.03236488351007216,1.0321289347781426,1.03224256026954,1.0256404412435043,-0.027904232668475415,-0.028178187,0.0002739543,-0.0279042327,-0.0280793613,0.0002093758,-0.0278699855,-9.88257e-05,6.45785e-05,-3.42472e-05
2018-12-05,-0.0028966063112018355,-0.002762120722998922,,1.0291392635916903,1.0293913817026579,1.0256404412435043,-0.03072001140322045,-0.002687058,-0.0002095483,-0.0028966063,-0.0025816788,-0.0001804419,-0.0027621207,-0.0001053792,-2.91064e-05,-0.0001344856
2018-12-06,-0.005182547988780525,-0.004904295293507227,-0.001522188395813528,1.0238056999709881,1.0243429423941965,1.0240792232655664,-0.03574335145868779,-0.0058419829,0.0006594349,-0.005182548,-0.0055413857,0.0006370904,-0.0049042953,-0.0003005971,2.23444e-05,-0.0002782527
2018-12-07,-0.018001227048924824,-0.01802373423098274,-0.02332016543333515,1.005375941111827,1.0058804574391007,1.000197526362172,-0.053101154322515276,-0.0179050461,-9.6181e-05,-0.018001227,-0.017926857,-9.68772e-05,-0.0180237342,2.18109e-05,6.963e-07,2.25072e-05
2018-12-10,-0.0001145140555402302,9.460335039577746e-05,0.001762194844060927,1.0052608114354677,1.005975617100472,1.00196006928617,-0.0532095875495201,0.0007912025,-0.0009057166,-0.0001145141,0.0009722364,-0.0008776331,9.46034e-05,-0.0001810339,-2.80835e-05,-0.0002091174
2018-12-11,0.0014273121570838733,0.0016050139417872597,-0.0003563683787511929,1.0066956324126695,1.0075902219910162,1.0016030024007052,-0.05185822208361923,0.0021164843,-0.0006891721,0.0014273122,0.0023071587,-0.0007021448,0.0016050139,-0.0001906745,1.29727e-05,-0.0001777018
