date,sub,n_valid,share_sig,state,ic
2018-11-27,P1,178,0.06741573033707865,-0.0022235998283433034,0.02911390115636394
2018-12-26,P1,178,0.0898876404494382,0.00037756467816318917,-0.12057612862248106
2019-01-24,P1,179,0.0782122905027933,0.005566733257775347,0.03549523421449918
2019-02-22,P1,179,0.0670391061452514,0.0018759149893670113,0.09964476040211548
2019-03-25,P1,179,0.0893854748603352,-0.0011602081565307287,0.0038834138890632523
2019-04-23,P1,179,0.0782122905027933,-0.006955667331540738,0.015623626890967295
2019-05-22,P1,181,0.08839779005524862,-0.004157602287157225,0.12320841964304395
2019-06-20,P1,181,0.13259668508287292,0.0006742425848083045,-0.05947523695938735
2019-07-19,P1,181,0.14917127071823205,0.006013758694459526,-0.210736956901962
2019-08-19,P1,181,0.12154696132596685,0.01694463442401961,0.025039969238864264
2019-09-17,P1,181,0.143646408839779,0.019582922109559142,-0.08190759516726367
2019-10-16,P1,182,0.14285714285714285,0.019096174586929138,0.2657519276303807
2019-11-14,P1,182,0.17032967032967034,0.015372211853939,0.11925404245846234
2019-12-13,P1,182,0.16483516483516483,0.013072058103527517,-0.19051868941371702
2020-01-13,P1,182,0.038461538461538464,0.013768576666650212,0.005459172654173106
2020-02-11,P1,182,0.038461538461538464,0.026663142220156644,0.12190825205950646
2020-03-11,P1,183,0.0546448087431694,0.04598249375959895,0.11383245863818275
2020-04-09,P1,184,0.09239130434782608,0.10138915872864729,0.061740903784196964
2020-05-08,P1,184,0.07065217391304347,0.13106925459860452,-0.06636093770805104
2020-06-08,P1,184,0.07065217391304347,0.11894577564643072,0.3120109418042419
2020-07-07,P1,184,0.04891304347826087,0.06894036897582456,-0.02585001252143091
2020-08-05,P1,185,0.05405405405405406,0.005794539797322251,0.007456993700757065
2020-09-03,P1,185,0.043243243243243246,-0.001818676500548122,0.02420681551116334
2020-10-02,P1,185,0.043243243243243246,-0.00306838624740724,0.003436185133239832
2020-11-02,P1,185,0.05945945945945946,-0.020755492699708,-0.08427656267768471
2020-12-01,P1,185,0.043243243243243246,-0.018165495229234274,-0.00903112088245328
2020-12-30,P1,186,0.010752688172043012,0.005943070685287211,0.11770402941510935
2021-01-28,P1,186,0.016129032258064516,0.01966311594331316,-0.12317197983397143
2021-02-26,P1,186,0.016129032258064516,0.0318603100787378,0.11429863536125395
2021-03-29,P1,186,0.021505376344086023,0.004839395965304583,0.11022010452750489
2021-04-27,P1,186,0.043010752688172046,-0.009667964943528062,-0.1854743133680515
2021-05-26,P2,186,0.06989247311827956,-0.01093994251310626,0.09485894381530055
2021-06-24,P2,186,0.06989247311827956,-0.006970144666820666,-0.1649287376042594
2021-07-23,P2,187,0.053475935828877004,-0.0003793342146165557,-0.029777750840369436
2021-08-23,P2,187,0.0481283422459893,0.0010599135786986125,-0.038276088750472045
2021-09-21,P2,187,0.0481283422459893,-0.00020714584623338084,-0.09018237606392156
2021-10-20,P2,189,0.06349206349206349,0.0013712794968085973,-0.08854543252379259
