,spearman_ic
2014-01-27,-0.09001708540300137
2014-01-28,0.07753561344124418
2014-01-29,0.15446254866314765
2014-01-30,-0.07096453953228117
2014-01-31,0.10996480627637008
2014-02-03,0.184528397926361
2014-02-04,0.13137050010393847
2014-02-05,0.12156027928903666
2014-02-06,0.15493052739460053
2014-02-07,0.18146869384555447
2014-02-10,0.19893684113527724
2014-02-11,0.23222450475882003
2014-02-12,0.21580038845168506
2014-02-13,0.2277639231681741
2014-02-14,0.24129554348155763
2014-02-18,0.28543847846409637
2014-02-19,0.382803543643963
2014-02-20,0.24683278202299722
2014-02-21,0.25761056670750426
2014-02-24,0.2161082960266279
2014-02-25,0.09299828324781252
2014-02-26,0.026705374538009002
2014-02-27,-0.0012815888135867337
2014-02-28,0.13793239795934356
2014-03-03,-0.1067817352532851
2014-03-04,0.024028006022115002
2014-03-05,-0.03437451618940074
2014-03-06,-0.10093353045238337
2014-03-07,-0.17263113470779012
2014-03-10,-0.15922695958271074
2014-03-11,-0.21049051212618008
2014-03-12,-0.29606638760715775
2014-03-13,-0.34739621164854523
2014-03-14,-0.2512332094847636
2014-03-17,-0.09924513659772972
2014-03-18,-0.10890038406365363
2014-03-19,-0.18200192451341912
2014-03-20,-0.17426039399507062
2014-03-21,-0.11336606346183176
2014-03-24,-0.2455583301399555
2014-03-25,-0.11770735635622502
2014-03-26,-0.10615368536532216
2014-03-27,-0.1152624478637978
2014-03-28,-0.15554124473695413
2014-03-31,-0.20541207626263552
2014-04-01,-0.19329254863566214
2014-04-02,-0.17848137863170474
2014-04-03,-0.16864974702516783
2014-04-04,-0.09000383110341774
2014-04-07,-0.11823956746258321
2014-04-08,-0.16018228871423879
2014-04-09,-0.10782882492039217
2014-04-10,0.0327687068167682
2014-04-11,0.03635450463489433
2014-04-14,0.010699278448511682
2014-04-15,-0.08980705573267611
2014-04-16,-0.11740352702730787
2014-04-17,-0.052398324500129684
2014-04-21,-0.09350500531650989
2014-04-22,-0.07513352653208719
2014-04-23,-0.05440889979081627
2014-04-24,-0.012094038589312519
2014-04-25,-0.005175294206655736
2014-04-28,0.034846573166879384
2014-04-29,-0.021375106982375398
2014-04-30,0.06622357852736604
2014-05-01,0.03714364524087375
2014-05-02,0.021968491779119612
2014-05-05,0.012328537735792192
2014-05-06,0.2087185142279989
2014-05-07,0.11195193165240869
2014-05-08,0.17761679047424925
2014-05-09,0.13665215041016576
2014-05-12,0.10395912654070098
2014-05-13,0.10377359082681752
2014-05-14,0.07584842703335792
2014-05-15,0.17147679613529165
2014-05-16,0.12126593870883018
2014-05-19,0.07385850553060784
2014-05-20,0.13863289706992163
2014-05-21,0.023263324125387792
