state,n_days,share,ann_active,t_stat,ann_active_H1,ann_active_H2
calm,613,0.31877275091003643,0.09837932478855582,4.072980447301913,0.05261920753353478,0.10894642013861086
mid,482,0.25065002600104,0.08239886134339519,2.88512540386725,0.18724774966357127,0.046475704620883615
stress,828,0.43057722308892354,0.004320441837981096,0.21105414164585737,0.015472754311414606,-0.07247119547908962
